case_idx,split,passed,failure_type,schema_used,prompt,gold_query,submitted_query,error,duration_seconds
14,evals_hard,False,MISMATCH,employee,Compare current average salaries between 'Legacy' and 'Recent' workforce.,"SELECT CASE WHEN e.hire_date < '1990-01-01' THEN 'Legacy' ELSE 'Recent' END as cohort, AVG(s.salary) as avg_salary FROM employee.employees e JOIN employee.salaries s ON e.emp_no = s.emp_no WHERE s.to_date = '9999-01-01' GROUP BY CASE WHEN e.hire_date < '1990-01-01' THEN 'Legacy' ELSE 'Recent' END HAVING COUNT(*) >= 10","WITH latest_salary AS (
    SELECT s.emp_no, s.salary
    FROM employee.salaries s
    JOIN (
        SELECT emp_no, MAX(to_date) AS max_to
        FROM employee.salaries
        GROUP BY emp_no
    ) m ON s.emp_no = m.emp_no AND s.to_date = m.max_to
)
SELECT CASE WHEN e.hire_date < DATE '1990-01-01' THEN 'Legacy' ELSE 'Recent' END AS workforce,
       AVG(ls.salary) AS avg_salary
FROM latest_salary ls
JOIN employee.employees e ON ls.emp_no = e.emp_no
GROUP BY workforce;",Results do not match,28.700639417394996
15,evals_hard,False,AGENT_ERROR,Airline,What is the on-time performance percentage for each unique airline carrier? Round the percentage to 2 decimal places.,"SELECT UniqueCarrier, ROUND((SUM(CASE WHEN ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) * 100.0 / COUNT(*)), 2) as on_time_percentage FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND Diverted = 0 AND (WeatherDelay IS NULL OR WeatherDelay = 0) GROUP BY UniqueCarrier",,Agent error: Max iterations reached,32.40123762562871
16,evals_hard,False,MISMATCH,lahman_2014,"Find the top 50 non-reliever pitchers by ERA (Earned Run Average). Show the player's first and last name, the year, the innings pitched, and the ERA.","SELECT p.nameFirst, p.nameLast, pi.yearID, pi.IPouts / 3 as innings_pitched, (pi.ER * 9.0) / (pi.IPouts / 3.0) as ERA FROM lahman_2014.pitching pi JOIN lahman_2014.players p ON pi.playerID = p.playerID WHERE pi.IPouts >= 150 ORDER BY ERA ASC LIMIT 50","SELECT p.nameFirst AS first_name,
       p.nameLast AS last_name,
       pi.yearID AS year,
       pi.IPouts/3.0 AS innings_pitched,
       pi.ERA
FROM lahman_2014.pitching AS pi
JOIN lahman_2014.players AS p ON pi.playerID = p.playerID
WHERE pi.GS > 0               -- started at least one game (non‑reliever)
  AND pi.IPouts > 0           -- pitched some innings
ORDER BY pi.ERA ASC
LIMIT 50;",Results do not match,13.906663792207837
17,evals_hard,False,MISMATCH,Accidents,"Count accidents by administrative unit, only for units with more than 100 accidents for statistical significance.","SELECT n.upravna_enota, COUNT(*) as accident_count FROM Accidents.nesreca n GROUP BY n.upravna_enota HAVING COUNT(*) > 100","SELECT ue.ime_upravna_enota AS administrative_unit, COUNT(*) AS accident_count FROM Accidents.nesreca n JOIN Accidents.upravna_enota ue ON n.upravna_enota = ue.id_upravna_enota GROUP BY ue.ime_upravna_enota HAVING COUNT(*) > 100",Results do not match,17.858290291391313
18,evals_hard,False,MISMATCH,Hockey,"Find the top 50 NHL players by average goals per season, only including players with at least 5 seasons.","SELECT m.firstName, m.lastName, CAST(SUM(s.G) AS REAL) / COUNT(DISTINCT s.year) as avg_goals_per_season, COUNT(DISTINCT s.year) as seasons FROM Hockey.Scoring s JOIN Hockey.Master m ON s.playerID = m.playerID WHERE s.lgID = 'NHL' GROUP BY s.playerID, m.firstName, m.lastName HAVING COUNT(DISTINCT s.year) >= 5 ORDER BY avg_goals_per_season DESC LIMIT 50","SELECT playerID, COUNT(DISTINCT year) AS seasons, SUM(G) AS total_goals, AVG(G) AS avg_goals_per_season FROM Hockey.Scoring GROUP BY playerID HAVING seasons >= 5 ORDER BY avg_goals_per_season DESC LIMIT 50",Results do not match,15.380395583808422
19,evals_hard,False,AGENT_ERROR,Airline,Find all origin/destination airport pairs that are thin routes. How many such pairs are there?,"SELECT COUNT(*) AS thin_route_count FROM (SELECT Origin, Dest FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL GROUP BY Origin, Dest HAVING COUNT(*) < 50) thin_routes",,Agent error: Max iterations reached,36.839791875332594
20,evals_hard,False,AGENT_ERROR,CraftBeer,"List 'high-gravity' beers along with their brewery information and abv. Note: ABV is stored as a decimal (e.g., 0.095 for 9.5%).","SELECT b.name as beer_name, b.abv as abv_percent, b.style, br.name as brewery_name, br.city, br.state FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.abv >= 0.095 ORDER BY b.abv DESC",,Agent error: Max iterations reached,26.572082417085767
21,evals_hard,False,AGENT_ERROR,CraftBeer,Identify the top 30 microbreweries with the smallest beer catalogs.,"SELECT br.id, br.name, COUNT(b.id) as beer_count FROM CraftBeer.breweries br JOIN CraftBeer.beers b ON br.id = b.brewery_id GROUP BY br.id, br.name HAVING COUNT(b.id) < 3 ORDER BY beer_count ASC, br.name LIMIT 30",,Agent error: Max iterations reached,26.9562527500093
22,evals_hard,True,NONE,world,Find country names where the sum of language percentages exceeds 100% due to multilingualism.,SELECT co.Name FROM world.Country co JOIN world.CountryLanguage cl ON co.Code = cl.CountryCode GROUP BY co.Name HAVING SUM(cl.Percentage) > 100,SELECT c.Name FROM world.Country c JOIN world.CountryLanguage cl ON cl.CountryCode = c.Code GROUP BY c.Name HAVING SUM(cl.Percentage) > 100,,5.9896868746727705
23,evals_hard,True,NONE,employee,Compare average salaries by gender for current employees.,"SELECT e.gender, AVG(s.salary) as avg_salary FROM employee.employees e JOIN employee.salaries s ON e.emp_no = s.emp_no WHERE s.to_date = '9999-01-01' GROUP BY e.gender HAVING COUNT(*) >= 10","SELECT e.gender, AVG(s.salary) AS avg_salary
FROM employee.employees e
JOIN employee.salaries s ON e.emp_no = s.emp_no
WHERE s.to_date = '9999-01-01'
GROUP BY e.gender
ORDER BY e.gender",,28.673874375410378
24,evals_hard,False,AGENT_ERROR,employee,How many employees are part of the 'legacy workforce'?,SELECT COUNT(*) as legacy_workforce_count FROM employee.employees WHERE hire_date < '1990-01-01',,Agent error: Max iterations reached,26.561240541748703
25,evals_hard,False,MISMATCH,employee,"Calculate the current headcount by department based on their current department assignment, counting each employee only once based on their most recent department assignment. Be sure to return departments by name, not id.","SELECT d.dept_name, COUNT(DISTINCT de.emp_no) as headcount FROM employee.dept_emp de JOIN employee.departments d ON de.dept_no = d.dept_no WHERE de.to_date = '9999-01-01' AND de.emp_no NOT IN (SELECT emp_no FROM employee.dept_manager WHERE to_date = '9999-01-01') GROUP BY d.dept_name","SELECT d.dept_name AS department, COUNT(*) AS headcount
FROM employee.dept_emp de
JOIN employee.departments d ON de.dept_no = d.dept_no
WHERE de.to_date = DATE '9999-01-01'
GROUP BY d.dept_name
ORDER BY d.dept_name",Results do not match,16.435262500308454
26,evals_hard,True,NONE,financial,Find the default rate for loans.,"SELECT CAST(COUNT(CASE WHEN status IN ('C', 'D') THEN 1 END) AS REAL) / COUNT(CASE WHEN status NOT IN ('B') THEN 1 END) as default_rate_pct FROM financial.loan","SELECT COUNT(*) FILTER (WHERE status IN ('C','D'))::DOUBLE / NULLIF(COUNT(*) FILTER (WHERE status <> 'B'), 0) AS default_rate FROM financial.loan",,43.4519884577021
27,evals_hard,False,AGENT_ERROR,Airline,"Analyze completed flights by day of week for January 2016. Give total flights, on-time flights, and average delay in minutes by day of week.","SELECT DayOfWeek, COUNT(*) as total_flights, SUM(CASE WHEN ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) as on_time_flights, AVG(ArrDelayMinutes) as avg_delay FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND Month = 1 GROUP BY DayOfWeek",,Agent error: Max iterations reached,44.05130512546748
28,evals_hard,True,NONE,world,Find the top 50 countries by population density. Show names and densities.,"SELECT c.Name, CAST(c.Population AS REAL) / c.SurfaceArea as population_density FROM world.Country c WHERE c.Population > 0 AND c.SurfaceArea > 0 ORDER BY population_density DESC LIMIT 50","SELECT Name, (Population / SurfaceArea) AS density FROM world.Country WHERE SurfaceArea > 0 AND Population IS NOT NULL ORDER BY density DESC LIMIT 50",,5.9155682092532516
29,evals_hard,True,NONE,Credit,"Find the top 25 members (member_no, first name, last name, and net_charge_volume) by net charge volume, where refunds (charge_code 'RF') are subtracted from gross charges.","SELECT m.member_no, m.firstname, m.lastname, SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt ELSE c.charge_amt END) as net_charge_volume FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no WHERE c.charge_amt != 0.01 GROUP BY m.member_no, m.firstname, m.lastname ORDER BY net_charge_volume DESC LIMIT 25","SELECT m.member_no, m.firstname, m.lastname,
       SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt ELSE c.charge_amt END) AS net_charge_volume
FROM Credit.member m
JOIN Credit.charge c ON m.member_no = c.member_no
GROUP BY m.member_no, m.firstname, m.lastname
ORDER BY net_charge_volume DESC
LIMIT 25",,8.70543691702187
30,evals_hard,True,NONE,Airline,"What is the count of diverted flights by route (origin-destination pair), including only routes with more than 5 diversions?","SELECT Origin, Dest, COUNT(*) as diverted_count FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE Diverted = 1 GROUP BY Origin, Dest HAVING COUNT(*) > 5","SELECT Origin, Dest, COUNT(*) AS diversions
FROM Airline.On_Time_On_Time_Performance_2016_1
WHERE Diverted = 1
GROUP BY Origin, Dest
HAVING COUNT(*) > 5
ORDER BY diversions DESC",,6.947641458362341
31,evals_hard,False,AGENT_ERROR,ErgastF1,Find the top 3 F1 rookie drivers ordered by their start count (highest first) then surname (descending).,"SELECT d.forename, d.surname, COUNT(*) as career_starts FROM ErgastF1.results r JOIN ErgastF1.drivers d ON r.driverId = d.driverId GROUP BY d.driverId, d.forename, d.surname HAVING COUNT(*) < 20 ORDER BY career_starts DESC, d.surname DESC LIMIT 3",,Agent error: Max iterations reached,38.59757479187101
32,evals_hard,True,NONE,world,"List countries by continent with their dominant languages where language percentage exceeds 90%, showing whether each language is official.","SELECT co.Continent, co.Name as country, cl.Language, cl.Percentage, cl.IsOfficial FROM world.Country co JOIN world.CountryLanguage cl ON co.Code = cl.CountryCode WHERE cl.Percentage > 90","SELECT c.Continent,
       c.Name AS Country,
       cl.Language,
       cl.IsOfficial,
       cl.Percentage
FROM world.Country c
JOIN (
    SELECT CountryCode,
           Language,
           IsOfficial,
           Percentage,
           ROW_NUMBER() OVER (PARTITION BY CountryCode ORDER BY Percentage DESC) AS rn
    FROM world.CountryLanguage
) cl ON c.Code = cl.CountryCode
WHERE cl.rn = 1
  AND cl.Percentage > 90
ORDER BY c.Continent, c.Name;",,7.667260167188942
33,evals_hard,False,AGENT_ERROR,imdb_MovieLens,"Identify 'super users' by id in the movie ratings data, showing the number of ratings they've given.","SELECT u.userid, COUNT(*) as ratings_given FROM imdb_MovieLens.u2base u GROUP BY u.userid HAVING COUNT(*) > 1000",,Agent error: Max iterations reached,28.994372624903917
34,evals_hard,True,NONE,CraftBeer,"Find beers with 'extreme' bitterness. Return the beer name, IBU, style, and brewery name.","SELECT b.name as beer_name, b.ibu, b.style, br.name as brewery_name FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.ibu > 100","SELECT b.name AS beer_name,
       COALESCE(b.ibu, 20) AS ibu,
       b.style,
       br.name AS brewery_name
FROM CraftBeer.beers b
JOIN CraftBeer.breweries br ON b.brewery_id = br.id
WHERE COALESCE(b.ibu, 20) > 100",,9.35042554140091
35,evals_hard,False,AGENT_ERROR,financial,What is the total amount of performing loans by district name?,"SELECT d.A2 as district_name, SUM(l.amount) as total_loan_amount FROM financial.district d JOIN financial.account a ON d.district_id = a.district_id JOIN financial.loan l ON a.account_id = l.account_id WHERE l.status = 'A' AND d.district_id != 1 GROUP BY d.A2",,Agent error: Max iterations reached,22.915607082657516
36,evals_hard,False,MISMATCH,Chess,What are the top three openings by games played? Count games separately for each opening_id (do not deduplicate by name).,"SELECT o.name as opening_name, COUNT(*) as game_count FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' GROUP BY o.opening_id, o.name ORDER BY game_count DESC LIMIT 3","SELECT opening_id, COUNT(*) AS game_count FROM Chess.game GROUP BY opening_id ORDER BY game_count DESC LIMIT 3",Results do not match,13.0021244995296
37,evals_hard,False,MISMATCH,ErgastF1,Find the top 30 driver names by fastest lap time.,"SELECT d.forename, d.surname, MIN(lt.milliseconds) as fastest_lap_ms FROM ErgastF1.lapTimes lt JOIN ErgastF1.drivers d ON lt.driverId = d.driverId WHERE lt.milliseconds >= 60000 GROUP BY d.driverId, d.forename, d.surname ORDER BY fastest_lap_ms ASC LIMIT 30","SELECT d.forename || ' ' || d.surname AS driver_name, MIN(l.milliseconds) AS fastest_ms
FROM ErgastF1.lapTimes l
JOIN ErgastF1.drivers d ON l.driverId = d.driverId
WHERE l.milliseconds IS NOT NULL
GROUP BY driver_name
ORDER BY fastest_ms ASC
LIMIT 30;",Results do not match,9.100439834408462
38,evals_hard,True,NONE,financial,"Calculate the loan portfolio size by status for each loan classification. Show the loan classification, count, and total amount.","SELECT CASE WHEN status = 'A' THEN 'Performing' WHEN status = 'B' THEN 'Watch List' WHEN status IN ('C', 'D') THEN 'Non-Performing' END as loan_classification, COUNT(*) as loan_count, SUM(amount) as total_amount FROM financial.loan GROUP BY CASE WHEN status = 'A' THEN 'Performing' WHEN status = 'B' THEN 'Watch List' WHEN status IN ('C', 'D') THEN 'Non-Performing' END","SELECT CASE WHEN status = 'A' THEN 'Performing' WHEN status = 'B' THEN 'Watch List' ELSE 'Non-Performing' END AS loan_classification,
       COUNT(*) AS loan_count,
       SUM(amount) AS total_amount
FROM financial.loan
GROUP BY loan_classification
ORDER BY loan_classification",,24.376453542150557
39,evals_hard,False,AGENT_ERROR,employee,Find salary statistics for departments where salary statistics can be reported. Show me employee count and average salary by department name.,"SELECT d.dept_name, COUNT(DISTINCT e.emp_no) as employee_count, AVG(s.salary) as avg_salary FROM employee.dept_emp de JOIN employee.departments d ON de.dept_no = d.dept_no JOIN employee.employees e ON de.emp_no = e.emp_no JOIN employee.salaries s ON e.emp_no = s.emp_no WHERE de.to_date = '9999-01-01' AND s.to_date = '9999-01-01' GROUP BY d.dept_name HAVING COUNT(DISTINCT e.emp_no) >= 5",,Agent error: Max iterations reached,38.898128375411034
40,evals_hard,True,NONE,Credit,Find providers with fewer than 100 total charges that should be aggregated as 'Long tail providers'. I want to see the provider number and the charge count.,"SELECT p.provider_no, COUNT(*) as charge_count FROM Credit.charge c JOIN Credit.provider p ON c.provider_no = p.provider_no WHERE c.charge_amt != 0.01 AND c.charge_code != 'RF' GROUP BY p.provider_no HAVING COUNT(*) < 100","SELECT provider_no, COUNT(*) AS charge_count FROM Credit.charge GROUP BY provider_no HAVING COUNT(*) < 100",,33.8457319997251
41,evals_hard,False,AGENT_ERROR,Credit,Calculate the average transaction value.,SELECT AVG(charge_amt) as avg_transaction_value FROM Credit.charge WHERE charge_amt >= 5 AND charge_amt != 0.01 AND charge_code != 'RF',,Agent error: Max iterations reached,28.799078250303864
42,evals_hard,False,AGENT_ERROR,Credit,"Identify the top 30 members (first, last) by cumulative lifetime charges.","SELECT m.firstname, m.lastname, SUM(c.charge_amt) as lifetime_charges FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no WHERE c.charge_code != 'RF' AND c.charge_amt != 0.01 GROUP BY m.member_no, m.firstname, m.lastname ORDER BY lifetime_charges DESC LIMIT 30",,Agent error: Max iterations reached,28.51524654123932
43,evals_hard,False,AGENT_ERROR,CraftBeer,Identify production breweries that should be analyzed separately.,"SELECT br.id, br.name, COUNT(b.id) as beer_count FROM CraftBeer.breweries br JOIN CraftBeer.beers b ON br.id = b.brewery_id GROUP BY br.id, br.name HAVING COUNT(b.id) > 20",,Agent error: Max iterations reached,33.99957074970007
44,evals_hard,False,AGENT_ERROR,lahman_2014,"Find the top 50 starting pitchers by games started, showing their season statistics. I want to see the player's first and last name, the year, the games started, the innings pitched, and the earned runs.","SELECT p.nameFirst, p.nameLast, pi.yearID, pi.GS as games_started, pi.IPouts / 3 as innings_pitched, pi.ER FROM lahman_2014.pitching pi JOIN lahman_2014.players p ON pi.playerID = p.playerID WHERE pi.GS > 0 AND pi.IPouts >= 150 ORDER BY pi.GS DESC LIMIT 50",,Agent error: Max iterations reached,45.078651583753526
45,evals_hard,False,AGENT_ERROR,world,Find countries (names and codes) with multiple official languages. Show the language count.,"SELECT co.Code, co.Name, COUNT(cl.Language) as language_count FROM world.Country co JOIN world.CountryLanguage cl ON co.Code = cl.CountryCode WHERE cl.IsOfficial = 'T' GROUP BY co.Code, co.Name HAVING COUNT(cl.Language) > 1",,Agent error: Max iterations reached,26.111969375051558
46,evals_hard,False,MISMATCH,ErgastF1,Calculate total points by constructor and year for each season from when points systems became comparable.,"SELECT c.name as constructor_name, ra.year, SUM(r.points) as total_points FROM ErgastF1.results r JOIN ErgastF1.constructors c ON r.constructorId = c.constructorId JOIN ErgastF1.races ra ON r.raceId = ra.raceId WHERE r.position IS NOT NULL AND r.position > 0 AND ra.year >= 2010 GROUP BY c.constructorId, c.name, ra.year","SELECT c.name AS constructor, r.year, SUM(cs.points) AS total_points
FROM ErgastF1.constructorStandings cs
JOIN ErgastF1.races r ON cs.raceId = r.raceId
JOIN ErgastF1.constructors c ON cs.constructorId = c.constructorId
WHERE r.year >= 2010
GROUP BY c.name, r.year
ORDER BY r.year, total_points DESC",Results do not match,22.807287249714136
47,evals_hard,False,AGENT_ERROR,financial,"Find district names (A2) with fewer than 50 accounts that should be aggregated as 'Other' for reporting, as well as their account counts.","SELECT d.A2 as district_name, COUNT(a.account_id) as account_count FROM financial.district d LEFT JOIN financial.account a ON d.district_id = a.district_id GROUP BY d.district_id, d.A2 HAVING COUNT(a.account_id) < 50",,Agent error: Max iterations reached,36.93991512525827
48,evals_hard,False,AGENT_ERROR,CraftBeer,Count the number of beers missing IBU data that should be flagged for data quality analysis.,SELECT COUNT(*) as missing_ibu_count FROM CraftBeer.beers b WHERE b.ibu IS NULL,,Agent error: Max iterations reached,35.98860037513077
49,evals_hard,False,MISMATCH,Credit,"Group charges by spending type. Show the spending_type, charge_count, and total_amount.","SELECT CASE WHEN c.category_no BETWEEN 1 AND 10 THEN 'Essential' WHEN c.category_no BETWEEN 11 AND 20 THEN 'Discretionary' ELSE 'Other' END as spending_type, COUNT(*) as charge_count, SUM(c.charge_amt) as total_amount FROM Credit.charge c WHERE c.charge_amt != 0.01 AND c.charge_code != 'RF' GROUP BY CASE WHEN c.category_no BETWEEN 1 AND 10 THEN 'Essential' WHEN c.category_no BETWEEN 11 AND 20 THEN 'Discretionary' ELSE 'Other' END","SELECT c.category_desc AS spending_type,
       COUNT(*) AS charge_count,
       SUM(ch.charge_amt) AS total_amount
FROM Credit.charge ch
JOIN Credit.category c ON ch.category_no = c.category_no
GROUP BY c.category_desc
ORDER BY spending_type",Results do not match,7.3334358325228095
