case_idx,split,passed,failure_type,schema_used,prompt,gold_query,submitted_query,error,duration_seconds
16,evals_hard,False,MISMATCH,ErgastF1,Find the top 30 constructors with the highest number of races where at least two cars started.,"SELECT c.name as constructor, COUNT(DISTINCT r1.raceId) as races_at_least_two_started FROM ErgastF1.results r1 JOIN ErgastF1.results r2 ON r1.raceId = r2.raceId AND r1.constructorId = r2.constructorId AND r1.resultId < r2.resultId JOIN ErgastF1.constructors c ON r1.constructorId = c.constructorId WHERE r1.grid > 0 AND r2.grid > 0 GROUP BY c.constructorId, c.name ORDER BY races_at_least_two_started DESC LIMIT 30","WITH races_two AS (
    SELECT raceId
    FROM ErgastF1.results
    WHERE grid IS NOT NULL AND grid > 0
    GROUP BY raceId
    HAVING COUNT(DISTINCT driverId) >= 2
)
SELECT c.name AS constructor_name,
       COUNT(DISTINCT r.raceId) AS race_count
FROM ErgastF1.constructors c
JOIN ErgastF1.results r ON c.constructorId = r.constructorId
WHERE r.raceId IN (SELECT raceId FROM races_two)
GROUP BY c.name
ORDER BY race_count DESC
LIMIT 30;",Results do not match,15.836532542482018
17,evals_hard,True,NONE,ErgastF1,Find the top 3 F1 rookie drivers ordered by their start count (highest first) then surname (descending).,"SELECT d.forename, d.surname, COUNT(*) as career_starts FROM ErgastF1.results r JOIN ErgastF1.drivers d ON r.driverId = d.driverId GROUP BY d.driverId, d.forename, d.surname HAVING COUNT(*) < 20 ORDER BY career_starts DESC, d.surname DESC LIMIT 3","WITH driver_starts AS (
    SELECT d.driverId, d.forename, d.surname,
           COUNT(DISTINCT r.raceId) AS start_count
    FROM ErgastF1.drivers d
    JOIN ErgastF1.results r
      ON d.driverId = r.driverId
    WHERE r.grid IS NOT NULL
    GROUP BY d.driverId, d.forename, d.surname
)
SELECT driverId, forename, surname, start_count
FROM driver_starts
WHERE start_count < 20
ORDER BY start_count DESC, surname DESC
LIMIT 3;",,14.215337041765451
18,evals_hard,False,MISMATCH,ErgastF1,Calculate total points by constructor and year for each season from when points systems became comparable.,"SELECT c.name as constructor_name, ra.year, SUM(r.points) as total_points FROM ErgastF1.results r JOIN ErgastF1.constructors c ON r.constructorId = c.constructorId JOIN ErgastF1.races ra ON r.raceId = ra.raceId WHERE r.position IS NOT NULL AND r.position > 0 AND ra.year >= 2010 GROUP BY c.constructorId, c.name, ra.year","SELECT c.name AS constructor, r.year, SUM(cs.points) AS total_points
FROM ErgastF1.constructorStandings cs
JOIN ErgastF1.races r ON cs.raceId = r.raceId
JOIN ErgastF1.constructors c ON cs.constructorId = c.constructorId
WHERE r.year >= 2010
GROUP BY c.name, r.year
ORDER BY r.year, total_points DESC",Results do not match,28.926781707443297
19,evals_hard,False,MISMATCH,CraftBeer,"List 'high-gravity' beers along with their brewery information and abv. Note: ABV is stored as a decimal (e.g., 0.095 for 9.5%).","SELECT b.name as beer_name, b.abv as abv_percent, b.style, br.name as brewery_name, br.city, br.state FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.abv >= 0.095 ORDER BY b.abv DESC","SELECT b.name AS beer_name,
       br.name AS brewery_name,
       br.city,
       br.state,
       b.abv
FROM CraftBeer.beers b
JOIN CraftBeer.breweries br ON b.brewery_id = br.id
WHERE b.abv >= 0.095",Results do not match,8.827171458862722
20,evals_hard,False,AGENT_ERROR,Chess,"For each ECO code, show the game count, white wins, black wins, and draws. Only include ECO codes with at least 5 games.","SELECT g.ECO, COUNT(*) as game_count, SUM(CASE WHEN g.game_result = '1-0' THEN 1 ELSE 0 END) as white_wins, SUM(CASE WHEN g.game_result = '0-1' THEN 1 ELSE 0 END) as black_wins, SUM(CASE WHEN g.game_result = '1/2-1/2' THEN 1 ELSE 0 END) as draws FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' AND g.ECO IS NOT NULL GROUP BY g.ECO HAVING COUNT(*) >= 5",,Agent error: Max iterations reached,43.36135341692716
21,evals_hard,False,MISMATCH,Chess,"Calculate win rates for White players (with at least 5 games). Return the 30 players with the highest win rates, ordered by win rate descending.","SELECT g.white as player, CAST(SUM(CASE WHEN g.game_result = '1-0' THEN 1 ELSE 0 END) AS REAL) / COUNT(*) as win_rate FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' GROUP BY g.white HAVING COUNT(*) >= 5 ORDER BY win_rate DESC LIMIT 30","SELECT white AS player,
       SUM(CASE WHEN game_result = '1-0' THEN 1 ELSE 0 END)::float / COUNT(*) AS win_rate,
       COUNT(*) AS games_played
FROM Chess.game
GROUP BY white
HAVING COUNT(*) >= 5
ORDER BY win_rate DESC, games_played DESC
LIMIT 30;",Results do not match,81.98637179099023
22,evals_hard,True,NONE,CraftBeer,Identify the top 30 microbreweries with the smallest beer catalogs.,"SELECT br.id, br.name, COUNT(b.id) as beer_count FROM CraftBeer.breweries br JOIN CraftBeer.beers b ON br.id = b.brewery_id GROUP BY br.id, br.name HAVING COUNT(b.id) < 3 ORDER BY beer_count ASC, br.name LIMIT 30","SELECT b.id, b.name, b.city, b.state, COUNT(be.id) AS beer_count
FROM CraftBeer.breweries b
LEFT JOIN CraftBeer.beers be ON be.brewery_id = b.id
GROUP BY b.id, b.name, b.city, b.state
ORDER BY beer_count ASC, b.name ASC
LIMIT 30",,8.973566708154976
23,evals_hard,False,AGENT_ERROR,world,List major cities along with their country information.,"SELECT ci.Name as city_name, ci.Population, co.Name as country_name, co.Continent, co.Region FROM world.City ci JOIN world.Country co ON ci.CountryCode = co.Code WHERE ci.Population > 2000000",,Agent error: Max iterations reached,62.75896108336747
24,evals_hard,False,MISMATCH,financial,"Show the region, loan count, total loan amount, and average loan amount for each loan classification. Label Prague as 'Prague' and other districts as 'Other Districts'.","SELECT CASE WHEN d.district_id = 1 THEN 'Prague' ELSE 'Other Districts' END as region, COUNT(l.loan_id) as loan_count, SUM(l.amount) as total_loan_amount, AVG(l.amount) as avg_loan_amount FROM financial.district d JOIN financial.account a ON d.district_id = a.district_id JOIN financial.loan l ON a.account_id = l.account_id GROUP BY CASE WHEN d.district_id = 1 THEN 'Prague' ELSE 'Other Districts' END","SELECT CASE WHEN d.A3 = 'Prague' THEN 'Prague' ELSE 'Other Districts' END AS region,
       l.status AS loan_classification,
       COUNT(*) AS loan_count,
       SUM(l.amount) AS total_loan_amount,
       AVG(l.amount) AS average_loan_amount
FROM financial.loan l
JOIN financial.account a ON l.account_id = a.account_id
JOIN financial.district d ON a.district_id = d.district_id
GROUP BY region, l.status
ORDER BY region, l.status",Results do not match,37.24809900019318
25,evals_hard,False,MISMATCH,lahman_2014,"Find the top 50 non-reliever pitchers by ERA (Earned Run Average). Show the player's first and last name, the year, the innings pitched, and the ERA.","SELECT p.nameFirst, p.nameLast, pi.yearID, pi.IPouts / 3 as innings_pitched, (pi.ER * 9.0) / (pi.IPouts / 3.0) as ERA FROM lahman_2014.pitching pi JOIN lahman_2014.players p ON pi.playerID = p.playerID WHERE pi.IPouts >= 150 ORDER BY ERA ASC LIMIT 50","SELECT pl.nameFirst AS first_name,
       pl.nameLast AS last_name,
       p.yearID AS year,
       (p.IPouts/3.0) AS innings_pitched,
       p.ERA
FROM lahman_2014.pitching p
JOIN lahman_2014.players pl ON p.playerID = pl.playerID
WHERE (p.IPouts/3.0) >= 50
  AND p.ERA IS NOT NULL
ORDER BY p.ERA ASC
LIMIT 50",Results do not match,31.225320499390364
26,evals_hard,False,AGENT_ERROR,CraftBeer,"Find the top 50 session beers by ABV. Note: ABV is stored as a decimal (e.g., 0.05 for 5%). I'd like to see their name, abv, style, and brewery name.","SELECT b.name as beer_name, b.abv, b.style, br.name as brewery FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.abv < 0.05 AND b.abv IS NOT NULL ORDER BY b.abv DESC LIMIT 50",,Agent error: Max iterations reached,34.40201075002551
27,evals_hard,False,NO_SUBMISSION,lahman_2014,"Find the top 50 players by career batting average, only including players with at least 500 career at-bats.","SELECT p.nameFirst, p.nameLast, CAST(SUM(b.H) AS REAL) / SUM(b.AB) as career_ba FROM lahman_2014.batting b JOIN lahman_2014.players p ON b.playerID = p.playerID WHERE b.AB >= 100 GROUP BY p.playerID, p.nameFirst, p.nameLast HAVING SUM(b.AB) >= 500 ORDER BY career_ba DESC LIMIT 50",,No answer submitted (agent did not call submit_answer),38.33045891672373
28,evals_hard,True,NONE,world,"List the top 50 capital cities by population, along with their countries.","SELECT co.Name as country, ci.Name as capital_city, ci.Population FROM world.Country co JOIN world.City ci ON co.Capital = ci.ID WHERE ci.Population IS NOT NULL ORDER BY ci.Population DESC LIMIT 50","SELECT c.Name AS Country, ci.Name AS CapitalCity, ci.Population
FROM world.Country c
JOIN world.City ci ON ci.ID = c.Capital
ORDER BY ci.Population DESC
LIMIT 50",,9.330229916609824
29,evals_hard,False,MISMATCH,lahman_2014,Find the names and years of the top 50 Hall of Fame players by career hits.,"SELECT p.nameFirst, p.nameLast, h.yearID as inducted_year, sum(b.H) as career_hits FROM lahman_2014.halloffame h JOIN lahman_2014.players p ON h.hofID = p.hofID JOIN lahman_2014.batting b ON p.playerID = b.playerID WHERE h.inducted = 'Y' AND h.category = 'Player' GROUP BY p.playerID, p.nameFirst, p.nameLast, h.yearID HAVING SUM(b.AB) >= 100 ORDER BY career_hits DESC LIMIT 50","SELECT p.nameFirst || ' ' || p.nameLast AS player_name,
       h.yearID AS induction_year,
       SUM(COALESCE(b.H, 0)) AS career_hits
FROM lahman_2014.halloffame h
JOIN lahman_2014.players p ON p.hofID = h.hofID
LEFT JOIN lahman_2014.batting b ON b.playerID = p.playerID
WHERE h.category = 'Player' AND h.inducted = 'Y'
GROUP BY p.nameFirst, p.nameLast, h.yearID
ORDER BY career_hits DESC
LIMIT 50;",Results do not match,16.57994766626507
30,evals_hard,True,NONE,employee,Compare average salaries by gender for current employees.,"SELECT e.gender, AVG(s.salary) as avg_salary FROM employee.employees e JOIN employee.salaries s ON e.emp_no = s.emp_no WHERE s.to_date = '9999-01-01' GROUP BY e.gender HAVING COUNT(*) >= 10","SELECT e.gender, AVG(s.salary) AS avg_salary
FROM employee.employees e
JOIN employee.salaries s ON e.emp_no = s.emp_no AND s.to_date = DATE '9999-01-01'
JOIN employee.dept_emp de ON e.emp_no = de.emp_no AND de.to_date = DATE '9999-01-01'
GROUP BY e.gender",,12.672942208126187
31,evals_hard,False,AGENT_ERROR,ErgastF1,"List each constructor-season combination where the constructor scored more than 100 total points, for seasons after when points systems became comparable. Show the constructor name, year, and total points. Aggregate points from individual race results.","SELECT c.name AS constructor, ra.year, SUM(r.points) AS total_points FROM ErgastF1.results r JOIN ErgastF1.constructors c ON r.constructorId = c.constructorId JOIN ErgastF1.races ra ON r.raceId = ra.raceId WHERE ra.year >= 2010 AND r.position IS NOT NULL AND r.position > 0 GROUP BY c.constructorId, c.name, ra.year HAVING SUM(r.points) > 100",,Agent error: Max iterations reached,42.451497624628246
32,evals_hard,True,NONE,financial,"Aggregate loan statistics for districts 70-77 as a single 'Eastern Region' entity, showing total loans and average loan amount for performing loans only.","SELECT 'Eastern Region' as region, COUNT(l.loan_id) as total_loans, AVG(l.amount) as avg_loan_amount FROM financial.district d JOIN financial.account a ON d.district_id = a.district_id JOIN financial.loan l ON a.account_id = l.account_id WHERE d.district_id BETWEEN 70 AND 77 AND l.status = 'A'","SELECT 'Eastern Region' AS region,
       COUNT(*) AS total_loans,
       AVG(l.amount) AS avg_loan_amount
FROM financial.loan l
JOIN financial.account a ON l.account_id = a.account_id
WHERE a.district_id BETWEEN 70 AND 77
  AND l.status = 'A';",,11.77577087469399
33,evals_hard,False,MISMATCH,Hockey,"Find the top 50 NHL players by career points, only including players with at least 5 seasons.","SELECT s.playerID, m.firstName, m.lastName, SUM(s.Pts) as career_points, COUNT(DISTINCT s.year) as seasons FROM Hockey.Scoring s JOIN Hockey.Master m ON s.playerID = m.playerID WHERE s.lgID = 'NHL' GROUP BY s.playerID, m.firstName, m.lastName HAVING COUNT(DISTINCT s.year) >= 5 ORDER BY career_points DESC LIMIT 50","SELECT m.firstName, m.lastName, s.career_points, s.seasons
FROM (
    SELECT playerID,
           SUM(COALESCE(Pts, 0)) AS career_points,
           COUNT(DISTINCT year) AS seasons
    FROM Hockey.Scoring
    WHERE lgID = 'NHL'
    GROUP BY playerID
    HAVING COUNT(DISTINCT year) >= 5
) s
JOIN Hockey.Master m ON s.playerID = m.playerID
ORDER BY s.career_points DESC
LIMIT 50;",Results do not match,23.655842875130475
34,evals_hard,False,MISMATCH,ErgastF1,"Find the top 30 F1 drivers (first name and last name) by race completion rate, only including drivers with at least 50 race starts. Include total races, completed races, and completion rate.","SELECT d.forename, d.surname, COUNT(*) as total_races, SUM(CASE WHEN r.position IS NOT NULL AND r.position > 0 THEN 1 ELSE 0 END) as completed_races, CAST(SUM(CASE WHEN r.position IS NOT NULL AND r.position > 0 THEN 1 ELSE 0 END) AS REAL) / COUNT(*) as completion_rate FROM ErgastF1.results r JOIN ErgastF1.drivers d ON r.driverId = d.driverId GROUP BY d.driverId, d.forename, d.surname HAVING COUNT(*) >= 50 ORDER BY completion_rate DESC LIMIT 30","SELECT d.forename, d.surname,
       COUNT(*) AS total_races,
       COUNT(*) FILTER (WHERE s.status LIKE 'Finished%') AS completed_races,
       COUNT(*) FILTER (WHERE s.status LIKE 'Finished%') * 1.0 / COUNT(*) AS completion_rate
FROM ErgastF1.results r
JOIN ErgastF1.drivers d ON r.driverId = d.driverId
JOIN ErgastF1.status s ON r.statusId = s.statusId
GROUP BY d.driverId, d.forename, d.surname
HAVING COUNT(*) >= 50
ORDER BY completion_rate DESC, total_races DESC
LIMIT 30",Results do not match,42.03948404174298
35,evals_hard,False,MISMATCH,Chess,Identify games with rating mismatches (Elo difference > 400 points) that should be weighted 0.5x in opening analysis.,"SELECT g.game_id, g.white, g.black, g.whiteElo, g.BlackElo, ABS(g.whiteElo - g.BlackElo) as elo_diff, o.name as opening FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE g.whiteElo IS NOT NULL AND g.BlackElo IS NOT NULL AND ABS(g.whiteElo - g.BlackElo) > 400 AND o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%'","SELECT game_id, opening_id, whiteElo, BlackElo, ABS(whiteElo - BlackElo) AS elo_diff, 0.5 AS weight FROM Chess.game WHERE whiteElo IS NOT NULL AND BlackElo IS NOT NULL AND ABS(whiteElo - BlackElo) > 400",Results do not match,16.075517166405916
36,evals_hard,False,MISMATCH,financial,"Find district names (A2) with fewer than 50 accounts that should be aggregated as 'Other' for reporting, as well as their account counts.","SELECT d.A2 as district_name, COUNT(a.account_id) as account_count FROM financial.district d LEFT JOIN financial.account a ON d.district_id = a.district_id GROUP BY d.district_id, d.A2 HAVING COUNT(a.account_id) < 50","SELECT d.A2 AS district_name,
       COUNT(a.account_id) AS account_count
FROM financial.account a
JOIN financial.district d ON a.district_id = d.district_id
WHERE d.district_id <> 1
  AND NOT (d.district_id BETWEEN 70 AND 77)
GROUP BY d.district_id, d.A2
HAVING COUNT(a.account_id) < 50
ORDER BY account_count ASC;",Results do not match,43.75679695792496
37,evals_hard,False,SQL_ERROR,lahman_2014,"Find the top 50 starting pitchers by games started, showing their season statistics. I want to see the player's first and last name, the year, the games started, the innings pitched, and the earned runs.","SELECT p.nameFirst, p.nameLast, pi.yearID, pi.GS as games_started, pi.IPouts / 3 as innings_pitched, pi.ER FROM lahman_2014.pitching pi JOIN lahman_2014.players p ON pi.playerID = p.playerID WHERE pi.GS > 0 AND pi.IPouts >= 150 ORDER BY pi.GS DESC LIMIT 50","SELECT pl.nameFirst,
       pl.nameLast,
       pi.yearID AS year,
       pi.GS AS games_started,
       pi.IPouts/3.0 AS innings_pitched,
       pi.ER AS earned_runs
FROM lahman_2014.pitching pi
JOIN lahman_2014.player pl
  ON pi.playerID = pl.playerID
WHERE pi.GS IS NOT NULL
  AND pi.GS > 0
  AND pi.IPouts >= 150   -- at least 50 innings pitched (IPouts are outs)
ORDER BY pi.GS DESC
LIMIT 50;","Submitted query execution failed: DuckDB error: Catalog Error: Table with name player does not exist!
Did you mean ""players""?

LINE 8: JOIN lahman_2014.player pl
             ^",17.73524499963969
38,evals_hard,True,NONE,CraftBeer,Count the number of beers missing IBU data that should be flagged for data quality analysis.,SELECT COUNT(*) as missing_ibu_count FROM CraftBeer.beers b WHERE b.ibu IS NULL,SELECT COUNT(*) AS missing_ibu_count FROM CraftBeer.beers WHERE ibu IS NULL,,11.208540708757937
