case_idx,split,passed,failure_type,schema_used,prompt,gold_query,submitted_query,error,duration_seconds
10,evals_hard,True,NONE,employee,Find salary statistics for departments where salary statistics can be reported. Show me employee count and average salary by department name.,"SELECT d.dept_name, COUNT(DISTINCT e.emp_no) as employee_count, AVG(s.salary) as avg_salary FROM employee.dept_emp de JOIN employee.departments d ON de.dept_no = d.dept_no JOIN employee.employees e ON de.emp_no = e.emp_no JOIN employee.salaries s ON e.emp_no = s.emp_no WHERE de.to_date = '9999-01-01' AND s.to_date = '9999-01-01' GROUP BY d.dept_name HAVING COUNT(DISTINCT e.emp_no) >= 5","SELECT d.dept_name,
       COUNT(DISTINCT de.emp_no) AS employee_count,
       AVG(s.salary) AS average_salary
FROM employee.departments d
JOIN employee.dept_emp de ON d.dept_no = de.dept_no
JOIN employee.salaries s ON de.emp_no = s.emp_no
WHERE de.to_date = DATE '9999-01-01'
  AND s.to_date = DATE '9999-01-01'
GROUP BY d.dept_name
HAVING COUNT(DISTINCT de.emp_no) > 0;",,21.06642920896411
11,evals_hard,True,NONE,employee,Compare current average salaries between 'Legacy' and 'Recent' workforce.,"SELECT CASE WHEN e.hire_date < '1990-01-01' THEN 'Legacy' ELSE 'Recent' END as cohort, AVG(s.salary) as avg_salary FROM employee.employees e JOIN employee.salaries s ON e.emp_no = s.emp_no WHERE s.to_date = '9999-01-01' GROUP BY CASE WHEN e.hire_date < '1990-01-01' THEN 'Legacy' ELSE 'Recent' END HAVING COUNT(*) >= 10","SELECT CASE WHEN e.hire_date < DATE '1990-01-01' THEN 'Legacy' ELSE 'Recent' END AS workforce,
       AVG(s.salary) AS avg_salary
FROM employee.employees e
JOIN employee.salaries s ON e.emp_no = s.emp_no
WHERE s.to_date = DATE '9999-01-01'
GROUP BY workforce",,32.91726475022733
12,evals_hard,False,AGENT_ERROR,lahman_2014,"Find the top 50 starting pitchers by games started, showing their season statistics. I want to see the player's first and last name, the year, the games started, the innings pitched, and the earned runs.","SELECT p.nameFirst, p.nameLast, pi.yearID, pi.GS as games_started, pi.IPouts / 3 as innings_pitched, pi.ER FROM lahman_2014.pitching pi JOIN lahman_2014.players p ON pi.playerID = p.playerID WHERE pi.GS > 0 AND pi.IPouts >= 150 ORDER BY pi.GS DESC LIMIT 50",,Agent error: Max iterations reached,33.24714491702616
13,evals_hard,True,NONE,Credit,"Identify the top 30 members (first, last) by cumulative lifetime charges.","SELECT m.firstname, m.lastname, SUM(c.charge_amt) as lifetime_charges FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no WHERE c.charge_code != 'RF' AND c.charge_amt != 0.01 GROUP BY m.member_no, m.firstname, m.lastname ORDER BY lifetime_charges DESC LIMIT 30","SELECT m.firstname, m.lastname, SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt WHEN c.charge_amt = 0.01 THEN 0 ELSE c.charge_amt END) AS total_charges FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no GROUP BY m.member_no, m.firstname, m.lastname ORDER BY total_charges DESC LIMIT 30",,20.106241958215833
14,evals_hard,False,MISMATCH,CraftBeer,"Find the top 50 session beers by ABV. Note: ABV is stored as a decimal (e.g., 0.05 for 5%). I'd like to see their name, abv, style, and brewery name.","SELECT b.name as beer_name, b.abv, b.style, br.name as brewery FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.abv < 0.05 AND b.abv IS NOT NULL ORDER BY b.abv DESC LIMIT 50","SELECT b.name, b.abv, b.style, br.name AS brewery_name FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.abv IS NOT NULL AND b.ounces IS NOT NULL AND b.ounces >= 12 AND b.abv <= 0.06 ORDER BY b.abv DESC LIMIT 50",Results do not match,19.566345292143524
15,evals_hard,False,AGENT_ERROR,financial,Find the default rate for loans.,"SELECT CAST(COUNT(CASE WHEN status IN ('C', 'D') THEN 1 END) AS REAL) / COUNT(CASE WHEN status NOT IN ('B') THEN 1 END) as default_rate_pct FROM financial.loan",,Agent error: Max iterations reached,31.33603904210031
16,evals_hard,False,MISMATCH,Airline,"Analyze completed flights by day of week for January 2016. Give total flights, on-time flights, and average delay in minutes by day of week.","SELECT DayOfWeek, COUNT(*) as total_flights, SUM(CASE WHEN ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) as on_time_flights, AVG(ArrDelayMinutes) as avg_delay FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND Month = 1 GROUP BY DayOfWeek","SELECT DayOfWeek,
       COUNT(*) AS total_flights,
       SUM(CASE WHEN ArrDelayMinutes <= 0 THEN 1 ELSE 0 END) AS on_time_flights,
       AVG(ArrDelayMinutes) AS avg_delay_minutes
FROM Airline.On_Time_On_Time_Performance_2016_1
WHERE Year = 2016
  AND Month = 1
  AND Cancelled = 0
  AND Diverted = 0
GROUP BY DayOfWeek
ORDER BY DayOfWeek;",Results do not match,16.08437795843929
17,evals_hard,False,AGENT_ERROR,financial,"Calculate the loan portfolio size by status for each loan classification. Show the loan classification, count, and total amount.","SELECT CASE WHEN status = 'A' THEN 'Performing' WHEN status = 'B' THEN 'Watch List' WHEN status IN ('C', 'D') THEN 'Non-Performing' END as loan_classification, COUNT(*) as loan_count, SUM(amount) as total_amount FROM financial.loan GROUP BY CASE WHEN status = 'A' THEN 'Performing' WHEN status = 'B' THEN 'Watch List' WHEN status IN ('C', 'D') THEN 'Non-Performing' END",,Agent error: Max iterations reached,28.905114999972284
18,evals_hard,False,SQL_ERROR,ErgastF1,Find the top 30 driver names by fastest lap time.,"SELECT d.forename, d.surname, MIN(lt.milliseconds) as fastest_lap_ms FROM ErgastF1.lapTimes lt JOIN ErgastF1.drivers d ON lt.driverId = d.driverId WHERE lt.milliseconds >= 60000 GROUP BY d.driverId, d.forename, d.surname ORDER BY fastest_lap_ms ASC LIMIT 30","SELECT d.driver_name, MIN(l.lap_time) AS fastest_lap
FROM Racing.lap_times l
JOIN Racing.drivers d ON l.driver_id = d.driver_id
GROUP BY d.driver_name
ORDER BY fastest_lap ASC
LIMIT 30","Submitted query execution failed: DuckDB error: Catalog Error: Table with name lap_times does not exist!
Did you mean ""ErgastF1.lapTimes""?

LINE 2: FROM Racing.lap_times l
             ^",15.08248604182154
19,evals_hard,False,MISMATCH,employee,"Calculate the current headcount by department based on their current department assignment, counting each employee only once based on their most recent department assignment. Be sure to return departments by name, not id.","SELECT d.dept_name, COUNT(DISTINCT de.emp_no) as headcount FROM employee.dept_emp de JOIN employee.departments d ON de.dept_no = d.dept_no WHERE de.to_date = '9999-01-01' AND de.emp_no NOT IN (SELECT emp_no FROM employee.dept_manager WHERE to_date = '9999-01-01') GROUP BY d.dept_name","SELECT d.dept_name, COUNT(DISTINCT de.emp_no) AS headcount
FROM employee.dept_emp de
JOIN employee.departments d ON de.dept_no = d.dept_no
WHERE de.to_date = DATE '9999-01-01'
GROUP BY d.dept_name
ORDER BY d.dept_name",Results do not match,22.384137749671936
20,evals_hard,True,NONE,CraftBeer,Identify production breweries that should be analyzed separately.,"SELECT br.id, br.name, COUNT(b.id) as beer_count FROM CraftBeer.breweries br JOIN CraftBeer.beers b ON br.id = b.brewery_id GROUP BY br.id, br.name HAVING COUNT(b.id) > 20","SELECT b.id, b.name, b.city, b.state, COUNT(*) AS beer_count
FROM CraftBeer.breweries b
JOIN CraftBeer.beers be ON be.brewery_id = b.id
GROUP BY b.id, b.name, b.city, b.state
HAVING COUNT(*) > 20
ORDER BY beer_count DESC",,22.439026624895632
21,evals_hard,False,MISMATCH,Credit,"Find the top 50 member-quarters by charge count. I want to see the member's first and last name, the statement number, the charge count, and the total charges.","SELECT m.firstname, m.lastname, c.statement_no, COUNT(*) as charge_count, SUM(c.charge_amt) as total_charges FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no WHERE c.charge_amt != 0.01 AND c.charge_code != 'RF' GROUP BY m.member_no, m.firstname, m.lastname, c.statement_no ORDER BY charge_count DESC LIMIT 50","SELECT m.firstname, m.lastname, c.statement_no, DATE_TRUNC('quarter', c.charge_dt) AS quarter, COUNT(*) AS charge_count, SUM(c.charge_amt) AS total_charges FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no WHERE c.charge_code <> 'RF' AND c.charge_amt >= 5 AND c.charge_amt <> 0.01 GROUP BY m.firstname, m.lastname, c.statement_no, quarter ORDER BY charge_count DESC LIMIT 50",Results do not match,26.535978582687676
22,evals_hard,False,MISMATCH,CraftBeer,"List 'high-gravity' beers along with their brewery information and abv. Note: ABV is stored as a decimal (e.g., 0.095 for 9.5%).","SELECT b.name as beer_name, b.abv as abv_percent, b.style, br.name as brewery_name, br.city, br.state FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.abv >= 0.095 ORDER BY b.abv DESC","SELECT b.name AS beer_name, b.abv, br.name AS brewery_name, br.city, br.state FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.abv > 0.07 AND b.abv IS NOT NULL ORDER BY b.abv DESC",Results do not match,22.223250165581703
23,evals_hard,True,NONE,world,"Find countries with small populations (< 100,000) - economic data for these may be unreliable. Exclude countries with population = 0. Show their name, population, and gross national product.","SELECT c.Name, c.Population, c.GNP FROM world.Country c WHERE c.Population < 100000 AND c.Population > 0","SELECT Name, Population, GNP FROM world.Country WHERE Population > 0 AND Population < 100000 ORDER BY Population",,14.7880680821836
24,evals_hard,True,NONE,Hockey,"Find the top 50 NHL players by average goals per season, only including players with at least 5 seasons.","SELECT m.firstName, m.lastName, CAST(SUM(s.G) AS REAL) / COUNT(DISTINCT s.year) as avg_goals_per_season, COUNT(DISTINCT s.year) as seasons FROM Hockey.Scoring s JOIN Hockey.Master m ON s.playerID = m.playerID WHERE s.lgID = 'NHL' GROUP BY s.playerID, m.firstName, m.lastName HAVING COUNT(DISTINCT s.year) >= 5 ORDER BY avg_goals_per_season DESC LIMIT 50","WITH player_stats AS (
 SELECT s.playerID,
        SUM(s.G) AS total_goals,
        COUNT(DISTINCT s.year) AS seasons
 FROM Hockey.Scoring s
 WHERE s.lgID <> 'WHA'
 GROUP BY s.playerID
 HAVING COUNT(DISTINCT s.year) >= 5
)
SELECT m.firstName, m.lastName, ps.total_goals, ps.seasons,
       CAST(ps.total_goals AS DOUBLE) / ps.seasons AS avg_goals_per_season
FROM player_stats ps
JOIN Hockey.Master m ON ps.playerID = m.playerID
ORDER BY avg_goals_per_season DESC
LIMIT 50;",,12.724164750427008
25,evals_hard,True,NONE,financial,"Aggregate loan statistics for districts 70-77 as a single 'Eastern Region' entity, showing total loans and average loan amount for performing loans only.","SELECT 'Eastern Region' as region, COUNT(l.loan_id) as total_loans, AVG(l.amount) as avg_loan_amount FROM financial.district d JOIN financial.account a ON d.district_id = a.district_id JOIN financial.loan l ON a.account_id = l.account_id WHERE d.district_id BETWEEN 70 AND 77 AND l.status = 'A'","SELECT 'Eastern Region' AS region, COUNT(*) AS total_loans, AVG(l.amount) AS avg_loan_amount FROM financial.loan l JOIN financial.account a ON l.account_id = a.account_id JOIN financial.district d ON a.district_id = d.district_id WHERE l.status = 'A' AND d.district_id BETWEEN 70 AND 77",,29.30253608431667
26,evals_hard,False,AGENT_ERROR,ErgastF1,"List each constructor-season combination where the constructor scored more than 100 total points, for seasons after when points systems became comparable. Show the constructor name, year, and total points. Aggregate points from individual race results.","SELECT c.name AS constructor, ra.year, SUM(r.points) AS total_points FROM ErgastF1.results r JOIN ErgastF1.constructors c ON r.constructorId = c.constructorId JOIN ErgastF1.races ra ON r.raceId = ra.raceId WHERE ra.year >= 2010 AND r.position IS NOT NULL AND r.position > 0 GROUP BY c.constructorId, c.name, ra.year HAVING SUM(r.points) > 100",,Agent error: Max iterations reached,31.945231458172202
27,evals_hard,True,NONE,Chess,"Find the top three draw results in chess games, grouped by opening id and name.","SELECT o.name as opening_name, COUNT(*) as draw_count FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE g.game_result = '1/2-1/2' AND o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' GROUP BY o.opening_id, o.name ORDER BY draw_count DESC LIMIT 3","SELECT g.opening_id, o.name, COUNT(*) AS draw_count
FROM Chess.game g
JOIN Chess.opening o ON g.opening_id = o.opening_id
WHERE g.game_result = '1/2-1/2'
  AND o.name NOT ILIKE '%French Defense%'
  AND o.name NOT ILIKE '%Sicilian Defense%'
GROUP BY g.opening_id, o.name
ORDER BY draw_count DESC
LIMIT 3",,16.83409662451595
28,evals_hard,False,SQL_ERROR,ErgastF1,Calculate total points by constructor and year for each season from when points systems became comparable.,"SELECT c.name as constructor_name, ra.year, SUM(r.points) as total_points FROM ErgastF1.results r JOIN ErgastF1.constructors c ON r.constructorId = c.constructorId JOIN ErgastF1.races ra ON r.raceId = ra.raceId WHERE r.position IS NOT NULL AND r.position > 0 AND ra.year >= 2010 GROUP BY c.constructorId, c.name, ra.year","SELECT ra.year AS season_year,
       c.name AS constructor_name,
       SUM(r.points) AS total_points
FROM ""ErgastF1"".results r
JOIN ""ErgastF1"".races ra ON r.raceId = ra.raceId
JOIN ""ErgastF1"".constructors c ON r.constructorId = c.constructorId
WHERE ra.year >= 2010               -- points systems comparable from 2010 onward
  AND ra.sprint_date IS NULL        -- exclude sprint race points (introduced 2021)
GROUP BY ra.year, c.name
ORDER BY ra.year, total_points DESC;","Submitted query execution failed: DuckDB error: Binder Error: Table ""ra"" does not have a column named ""sprint_date""

Candidate bindings: : ""date""

LINE 8:   AND ra.sprint_date IS NULL        -- exclude sprint race points...
              ^",16.724431792274117
29,evals_hard,False,NO_SUBMISSION,world,List major cities along with their country information.,"SELECT ci.Name as city_name, ci.Population, co.Name as country_name, co.Continent, co.Region FROM world.City ci JOIN world.Country co ON ci.CountryCode = co.Code WHERE ci.Population > 2000000",,No answer submitted (agent did not call submit_answer),24.42604216746986
30,evals_hard,False,MISMATCH,Hockey,"Find the top 50 NHL players by career points, only including players with at least 5 seasons.","SELECT s.playerID, m.firstName, m.lastName, SUM(s.Pts) as career_points, COUNT(DISTINCT s.year) as seasons FROM Hockey.Scoring s JOIN Hockey.Master m ON s.playerID = m.playerID WHERE s.lgID = 'NHL' GROUP BY s.playerID, m.firstName, m.lastName HAVING COUNT(DISTINCT s.year) >= 5 ORDER BY career_points DESC LIMIT 50","WITH player_seasons AS (
    SELECT playerID, year, SUM(Pts) AS season_pts
    FROM Hockey.Scoring
    WHERE lgID = 'NHL'
    GROUP BY playerID, year
),
player_career AS (
    SELECT playerID,
           COUNT(DISTINCT year) AS seasons,
           SUM(season_pts) AS career_pts
    FROM player_seasons
    GROUP BY playerID
    HAVING COUNT(DISTINCT year) >= 5
)
SELECT m.firstName,
       m.lastName,
       c.career_pts,
       c.seasons
FROM player_career c
JOIN Hockey.Master m ON c.playerID = m.playerID
ORDER BY c.career_pts DESC
LIMIT 50;",Results do not match,15.789440708234906
31,evals_hard,True,NONE,Airline,"Find the top route with the most severe delays. Only count completed flights. Show the origin, destination, and number of severe delays.","SELECT Origin, Dest, COUNT(*) as severe_delay_count FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE ArrDelayMinutes > 180 AND DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND (WeatherDelay IS NULL OR WeatherDelay = 0) GROUP BY Origin, Dest ORDER BY severe_delay_count DESC LIMIT 1","SELECT Origin,
       Dest,
       SUM(CASE WHEN ArrDelay > 180 AND (WeatherDelay IS NULL OR WeatherDelay = 0) THEN 1 ELSE 0 END) AS severe_delay_count
FROM Airline.On_Time_On_Time_Performance_2016_1
WHERE Cancelled = 0
  AND DepTime IS NOT NULL
  AND ArrTime IS NOT NULL
GROUP BY Origin, Dest
HAVING COUNT(*) >= 50
ORDER BY severe_delay_count DESC
LIMIT 1",,30.10401695780456
32,evals_hard,False,MISMATCH,financial,"Show the region, loan count, total loan amount, and average loan amount for each loan classification. Label Prague as 'Prague' and other districts as 'Other Districts'.","SELECT CASE WHEN d.district_id = 1 THEN 'Prague' ELSE 'Other Districts' END as region, COUNT(l.loan_id) as loan_count, SUM(l.amount) as total_loan_amount, AVG(l.amount) as avg_loan_amount FROM financial.district d JOIN financial.account a ON d.district_id = a.district_id JOIN financial.loan l ON a.account_id = l.account_id GROUP BY CASE WHEN d.district_id = 1 THEN 'Prague' ELSE 'Other Districts' END","SELECT CASE WHEN d.A3 = 'Prague' THEN 'Prague' ELSE 'Other Districts' END AS region,
       l.status AS loan_classification,
       COUNT(*) AS loan_count,
       SUM(l.amount) AS total_loan_amount,
       AVG(l.amount) AS average_loan_amount
FROM financial.loan l
JOIN financial.account a ON l.account_id = a.account_id
JOIN financial.district d ON a.district_id = d.district_id
GROUP BY 1, 2",Results do not match,29.978519749827683
33,evals_hard,False,MISMATCH,lahman_2014,"Find the top 50 Hall of Fame voting results by BBWAA with at least 75% support, showing vote percentages. Give the player's first and last name, the year, the vote percentage.","SELECT p.nameFirst, p.nameLast, h.yearID, CAST(h.votes AS REAL) / h.ballots * 100 as vote_percentage FROM lahman_2014.halloffame h JOIN lahman_2014.players p ON h.hofID = p.hofID WHERE h.votedBy = 'BBWAA' AND h.ballots > 0 AND CAST(h.votes AS REAL) / h.ballots >= 0.75 ORDER BY vote_percentage DESC LIMIT 50","SELECT p.namefirst, p.namelast, h.yearid,
       (h.votes * 100.0 / h.ballots) AS vote_percentage
FROM lahman_2014.halloffame AS h
JOIN lahman_2014.players AS p ON h.hofid = p.playerid
WHERE h.inducted = 'Y'
  AND h.category = 'Player'
  AND h.votedby = 'BBWAA'
  AND (h.votes * 100.0 / h.ballots) >= 75
ORDER BY vote_percentage DESC
LIMIT 50;",Results do not match,50.835342708043754
34,evals_hard,False,MISMATCH,financial,"Find the top 30 accounts by total absolute transaction volume, excluding legacy transactions?","SELECT a.account_id, SUM(ABS(t.amount)) as total_volume FROM financial.account a JOIN financial.trans t ON a.account_id = t.account_id WHERE (t.k_symbol IS NULL OR t.k_symbol != 'UROK') AND t.date >= '1995-01-01' GROUP BY a.account_id ORDER BY total_volume DESC LIMIT 30","SELECT account_id, SUM(ABS(amount)) AS total_volume FROM financial.trans WHERE date >= '1995-01-01' GROUP BY account_id ORDER BY total_volume DESC LIMIT 30",Results do not match,9.745465625077486
35,evals_hard,False,MISMATCH,Airline,"Show carrier performance with counts of on-time, moderately delayed, and severely delayed flights.","SELECT UniqueCarrier, SUM(CASE WHEN ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) as on_time, SUM(CASE WHEN ArrDelayMinutes > 15 AND ArrDelayMinutes <= 180 THEN 1 ELSE 0 END) as moderate_delays, SUM(CASE WHEN ArrDelayMinutes > 180 THEN 1 ELSE 0 END) as severe_delays FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND (WeatherDelay IS NULL OR WeatherDelay = 0) GROUP BY UniqueCarrier","SELECT UniqueCarrier,
       SUM(CASE WHEN ArrivalDelayGroups = 0 THEN 1 ELSE 0 END) AS on_time,
       SUM(CASE WHEN ArrivalDelayGroups BETWEEN 1 AND 11 THEN 1 ELSE 0 END) AS moderate_delay,
       SUM(CASE WHEN ArrivalDelayGroups = 12 THEN 1 ELSE 0 END) AS severe_delay
FROM Airline.On_Time_On_Time_Performance_2016_1
WHERE Cancelled = 0
  AND ArrivalDelayGroups IS NOT NULL
GROUP BY UniqueCarrier
ORDER BY UniqueCarrier",Results do not match,12.065809125080705
