case_idx,split,passed,failure_type,gold_schema,gold_tables,schema_correct,tables_correct,guides_read,tool_sequence,prompt,gold_query,submitted_query,error,duration_seconds
13,evals_hard,False,MISMATCH,financial,financial.account|financial.trans,True,False,,find_schema → describe(financial.trans) → run_sql → submit,"Find the top 30 accounts by total absolute transaction volume, excluding legacy transactions?","SELECT a.account_id, SUM(ABS(t.amount)) as total_volume FROM financial.account a JOIN financial.trans t ON a.account_id = t.account_id WHERE (t.k_symbol IS NULL OR t.k_symbol != 'UROK') AND t.date >= '1995-01-01' GROUP BY a.account_id ORDER BY total_volume DESC LIMIT 30","SELECT account_id,
       SUM(ABS(amount)) AS total_abs_volume
FROM financial.trans
WHERE date >= '1995-01-01'
GROUP BY account_id
ORDER BY total_abs_volume DESC
LIMIT 30",Results do not match,5.526419040746987
14,evals_hard,True,NONE,Credit,Credit.charge|Credit.provider,True,True,,find_schema → run_sql → submit,Find providers with fewer than 100 total charges that should be aggregated as 'Long tail providers'. I want to see the provider number and the charge count.,"SELECT p.provider_no, COUNT(*) as charge_count FROM Credit.charge c JOIN Credit.provider p ON c.provider_no = p.provider_no WHERE c.charge_amt != 0.01 AND c.charge_code != 'RF' GROUP BY p.provider_no HAVING COUNT(*) < 100","SELECT p.provider_no,
       COUNT(*) AS charge_count,
       'Long tail provider' AS provider_category
FROM Credit.charge c
JOIN Credit.provider p ON c.provider_no = p.provider_no
GROUP BY p.provider_no
HAVING COUNT(*) < 100
ORDER BY charge_count DESC",,4.654135582968593
15,evals_hard,False,MISMATCH,ErgastF1,ErgastF1.constructors|ErgastF1.races|ErgastF1.results,True,False,,find_schema → find_schema → run_sql → run_sql → submit,Calculate total points by constructor and year for each season from when points systems became comparable.,"SELECT c.name as constructor_name, ra.year, SUM(r.points) as total_points FROM ErgastF1.results r JOIN ErgastF1.constructors c ON r.constructorId = c.constructorId JOIN ErgastF1.races ra ON r.raceId = ra.raceId WHERE r.position IS NOT NULL AND r.position > 0 AND ra.year >= 2010 GROUP BY c.constructorId, c.name, ra.year","SELECT c.constructorId,
       c.constructorRef,
       ra.year,
       SUM(cr.points) AS total_points
FROM ErgastF1.constructorResults cr
JOIN ErgastF1.races ra ON cr.raceId = ra.raceId
JOIN ErgastF1.constructors c ON cr.constructorId = c.constructorId
WHERE ra.year >= 2010
GROUP BY c.constructorId, c.constructorRef, ra.year
ORDER BY ra.year, total_points DESC",Results do not match,9.687943957746029
16,evals_hard,False,MISMATCH,CraftBeer,CraftBeer.beers|CraftBeer.breweries,True,True,,find_schema → describe(CraftBeer.breweries) → describe(CraftBeer.beers) → run_sql → run_sql → submit,"List 'high-gravity' beers along with their brewery information and abv. Note: ABV is stored as a decimal (e.g., 0.095 for 9.5%).","SELECT b.name as beer_name, b.abv as abv_percent, b.style, br.name as brewery_name, br.city, br.state FROM CraftBeer.beers b JOIN CraftBeer.breweries br ON b.brewery_id = br.id WHERE b.abv >= 0.095 ORDER BY b.abv DESC","SELECT b.id AS beer_id,
       b.name AS beer_name,
       b.abv,
       br.id AS brewery_id,
       br.name AS brewery_name,
       br.city,
       br.state
FROM CraftBeer.beers b
LEFT JOIN CraftBeer.breweries br ON b.brewery_id = br.id
WHERE b.abv >= 0.095",Results do not match,6.1678299168124795
17,evals_hard,True,NONE,employee,employee.departments|employee.dept_emp|employee.dept_manager,True,True,,find_schema → run_sql → submit,"Calculate the current headcount by department based on their current department assignment, counting each employee only once based on their most recent department assignment. Be sure to return departments by name, not id.","SELECT d.dept_name, COUNT(DISTINCT de.emp_no) as headcount FROM employee.dept_emp de JOIN employee.departments d ON de.dept_no = d.dept_no WHERE de.to_date = '9999-01-01' AND de.emp_no NOT IN (SELECT emp_no FROM employee.dept_manager WHERE to_date = '9999-01-01') GROUP BY d.dept_name","WITH latest_dept AS (
  SELECT de.emp_no, de.dept_no,
         ROW_NUMBER() OVER (PARTITION BY de.emp_no ORDER BY de.from_date DESC) AS rn
  FROM employee.dept_emp de
  WHERE de.to_date = '9999-01-01'
)
SELECT d.dept_name,
       COUNT(*) AS headcount
FROM latest_dept ld
JOIN employee.departments d ON ld.dept_no = d.dept_no
JOIN employee.employees e ON ld.emp_no = e.emp_no
WHERE ld.rn = 1
  AND e.emp_no NOT IN (
    SELECT emp_no FROM employee.dept_manager WHERE to_date = '9999-01-01'
  )
GROUP BY d.dept_name
ORDER BY d.dept_name;",,6.065710875205696
18,evals_hard,False,MISMATCH,world,world.Country,False,False,,find_schema → run_sql → describe(nations.stat) → submit,"Find countries with small populations (< 100,000) - economic data for these may be unreliable. Exclude countries with population = 0. Show their name, population, and gross national product.","SELECT c.Name, c.Population, c.GNP FROM world.Country c WHERE c.Population < 100000 AND c.Population > 0","SELECT c.country AS country_name, s.popabs AS population, s.GNP AS gross_national_product FROM nations.country c LEFT JOIN nations.stat s ON c.country_id = s.country_id WHERE s.popabs > 0 AND s.popabs < 100000",Results do not match,5.042847917415202
19,evals_hard,False,MISMATCH,Credit,Credit.charge|Credit.member,True,True,,find_schema → list_tables(Credit) → describe(Credit.member) → run_sql → describe(Credit.charge) → describe(Credit.statement) → find_schema → find_schema → find_schema → describe(Credit.member) → run_sql → submit,"Find the top 50 member-quarters by charge count. I want to see the member's first and last name, the statement number, the charge count, and the total charges.","SELECT m.firstname, m.lastname, c.statement_no, COUNT(*) as charge_count, SUM(c.charge_amt) as total_charges FROM Credit.member m JOIN Credit.charge c ON m.member_no = c.member_no WHERE c.charge_amt != 0.01 AND c.charge_code != 'RF' GROUP BY m.member_no, m.firstname, m.lastname, c.statement_no ORDER BY charge_count DESC LIMIT 50","SELECT m.firstname,
       m.lastname,
       MIN(s.statement_no) AS statement_no,
       DATE_TRUNC('quarter', s.statement_dt) AS quarter_start,
       COUNT(c.charge_no) AS charge_count,
       SUM(c.charge_amt) AS total_charges
FROM Credit.member m
JOIN Credit.charge c ON m.member_no = c.member_no
JOIN Credit.statement s ON c.statement_no = s.statement_no
WHERE c.charge_code != 'RF'
  AND c.charge_amt >= 5.0
  AND c.charge_amt != 0.01
GROUP BY m.member_no, m.firstname, m.lastname, quarter_start
ORDER BY charge_count DESC
LIMIT 50",Results do not match,18.468370208516717
20,evals_hard,True,NONE,financial,financial.account|financial.district,True,True,,find_schema → run_sql → submit,"Find district names (A2) with fewer than 50 accounts that should be aggregated as 'Other' for reporting, as well as their account counts.","SELECT d.A2 as district_name, COUNT(a.account_id) as account_count FROM financial.district d LEFT JOIN financial.account a ON d.district_id = a.district_id GROUP BY d.district_id, d.A2 HAVING COUNT(a.account_id) < 50","SELECT d.A2 AS district_name,
       COUNT(a.account_id) AS account_count
FROM financial.account a
JOIN financial.district d ON a.district_id = d.district_id
GROUP BY d.A2
HAVING COUNT(a.account_id) < 50
ORDER BY account_count DESC",,6.064701874740422
21,evals_hard,False,MISMATCH,Airline,Airline.On_Time_On_Time_Performance_2016_1,True,True,,find_schema → run_sql → run_sql → submit,Find all origin/destination airport pairs that are thin routes. How many such pairs are there?,"SELECT COUNT(*) AS thin_route_count FROM (SELECT Origin, Dest FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL GROUP BY Origin, Dest HAVING COUNT(*) < 50) thin_routes","SELECT Origin, Dest, COUNT(*) OVER () AS total_thin_pairs
FROM (
  SELECT Origin, Dest
  FROM Airline.On_Time_On_Time_Performance_2016_1
  GROUP BY Origin, Dest
  HAVING COUNT(*) < 50
) t
ORDER BY Origin, Dest",Results do not match,6.889204874634743
22,evals_hard,True,NONE,Chess,Chess.game|Chess.opening,True,True,,find_schema → run_sql → submit,Identify games with rating mismatches (Elo difference > 400 points) that should be weighted 0.5x in opening analysis.,"SELECT g.game_id, g.white, g.black, g.whiteElo, g.BlackElo, ABS(g.whiteElo - g.BlackElo) as elo_diff, o.name as opening FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE g.whiteElo IS NOT NULL AND g.BlackElo IS NOT NULL AND ABS(g.whiteElo - g.BlackElo) > 400 AND o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%'","SELECT g.game_id,
       o.name AS opening_name,
       g.white,
       g.black,
       g.whiteElo,
       g.BlackElo,
       ABS(g.whiteElo - g.BlackElo) AS rating_diff,
       0.5 AS weight
FROM Chess.game g
JOIN Chess.opening o ON g.opening_id = o.opening_id
WHERE ABS(g.whiteElo - g.BlackElo) > 400
  AND g.whiteElo IS NOT NULL AND g.BlackElo IS NOT NULL
  AND NOT (o.name LIKE '%French%' OR g.opening LIKE '%French%')
  AND NOT (o.name LIKE '%Sicilian%' OR g.opening LIKE '%Sicilian%');",,5.673523582518101
23,evals_hard,True,NONE,CraftBeer,CraftBeer.beers,True,True,,find_schema → run_sql → submit,Count the number of beers missing IBU data that should be flagged for data quality analysis.,SELECT COUNT(*) as missing_ibu_count FROM CraftBeer.beers b WHERE b.ibu IS NULL,SELECT COUNT(*) AS missing_ibu_beer_count FROM CraftBeer.beers WHERE ibu IS NULL,,3.2943114172667265
24,evals_hard,True,NONE,employee,employee.employees|employee.salaries,True,True,,find_schema → run_sql → run_sql → submit,Compare current average salaries between 'Legacy' and 'Recent' workforce.,"SELECT CASE WHEN e.hire_date < '1990-01-01' THEN 'Legacy' ELSE 'Recent' END as cohort, AVG(s.salary) as avg_salary FROM employee.employees e JOIN employee.salaries s ON e.emp_no = s.emp_no WHERE s.to_date = '9999-01-01' GROUP BY CASE WHEN e.hire_date < '1990-01-01' THEN 'Legacy' ELSE 'Recent' END HAVING COUNT(*) >= 10","SELECT CASE WHEN e.hire_date < DATE '1990-01-01' THEN 'Legacy' ELSE 'Recent' END AS workforce_type,
       AVG(s.salary) AS avg_salary
FROM employee.employees e
JOIN employee.salaries s ON e.emp_no = s.emp_no
WHERE s.to_date = DATE '9999-01-01'
GROUP BY workforce_type",,7.0948368748649955
25,evals_hard,False,MISMATCH,Credit,Credit.charge,True,True,,find_schema → run_sql → run_sql → run_sql → describe(Credit.charge) → list_tables(Credit) → describe(Credit.category) → find_schema → list_tables(ConsumerExpenditures) → describe(Credit.category) → find_schema → run_sql → submit,"Group charges by spending type. Show the spending_type, charge_count, and total_amount.","SELECT CASE WHEN c.category_no BETWEEN 1 AND 10 THEN 'Essential' WHEN c.category_no BETWEEN 11 AND 20 THEN 'Discretionary' ELSE 'Other' END as spending_type, COUNT(*) as charge_count, SUM(c.charge_amt) as total_amount FROM Credit.charge c WHERE c.charge_amt != 0.01 AND c.charge_code != 'RF' GROUP BY CASE WHEN c.category_no BETWEEN 1 AND 10 THEN 'Essential' WHEN c.category_no BETWEEN 11 AND 20 THEN 'Discretionary' ELSE 'Other' END","SELECT 
  CASE 
    WHEN c.category_no BETWEEN 1 AND 10 THEN 'essential'
    WHEN c.category_no BETWEEN 11 AND 20 THEN 'discretionary'
    ELSE 'other'
  END AS spending_type,
  COUNT(*) FILTER (WHERE c.charge_code != 'RF') AS charge_count,
  SUM(CASE WHEN c.charge_code = 'RF' THEN -c.charge_amt ELSE c.charge_amt END) AS total_amount
FROM Credit.charge c
WHERE c.charge_amt >= 5.0
  AND c.charge_amt != 0.01
GROUP BY spending_type
ORDER BY spending_type",Results do not match,25.049514040350914
26,evals_hard,True,NONE,employee,employee.employees,True,True,,find_schema → run_sql → submit,How many employees are part of the 'legacy workforce'?,SELECT COUNT(*) as legacy_workforce_count FROM employee.employees WHERE hire_date < '1990-01-01',SELECT COUNT(*) AS legacy_workforce_employee_count FROM employee.employees WHERE hire_date < '1990-01-01',,4.940745875239372
27,evals_hard,False,MISMATCH,Airline,Airline.On_Time_On_Time_Performance_2016_1,True,True,,find_schema → run_sql → submit,"Find the top route with the most severe delays. Only count completed flights. Show the origin, destination, and number of severe delays.","SELECT Origin, Dest, COUNT(*) as severe_delay_count FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE ArrDelayMinutes > 180 AND DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND (WeatherDelay IS NULL OR WeatherDelay = 0) GROUP BY Origin, Dest ORDER BY severe_delay_count DESC LIMIT 1","SELECT Origin AS origin, Dest AS destination, COUNT(*) AS severe_delay_count
FROM Airline.On_Time_On_Time_Performance_2016_1 f
WHERE f.DepTime IS NOT NULL AND f.ArrTime IS NOT NULL
  AND f.ArrDelayMinutes >= 180
GROUP BY Origin, Dest
ORDER BY severe_delay_count DESC
LIMIT 1",Results do not match,4.765677833929658
28,evals_hard,False,MISMATCH,ErgastF1,ErgastF1.constructors|ErgastF1.races|ErgastF1.results,True,False,,find_schema → run_sql → submit,"List each constructor-season combination where the constructor scored more than 100 total points, for seasons after when points systems became comparable. Show the constructor name, year, and total points. Aggregate points from individual race results.","SELECT c.name AS constructor, ra.year, SUM(r.points) AS total_points FROM ErgastF1.results r JOIN ErgastF1.constructors c ON r.constructorId = c.constructorId JOIN ErgastF1.races ra ON r.raceId = ra.raceId WHERE ra.year >= 2010 AND r.position IS NOT NULL AND r.position > 0 GROUP BY c.constructorId, c.name, ra.year HAVING SUM(r.points) > 100","SELECT c.constructorRef AS constructor_name,
       r.year,
       SUM(cr.points) AS total_points
FROM ErgastF1.constructorResults cr
JOIN ErgastF1.races r ON cr.raceId = r.raceId
JOIN ErgastF1.constructors c ON cr.constructorId = c.constructorId
WHERE r.year >= 2010
GROUP BY c.constructorRef, r.year
HAVING SUM(cr.points) > 100
ORDER BY total_points DESC",Results do not match,4.712726667523384
29,evals_hard,True,NONE,Airline,Airline.On_Time_On_Time_Performance_2016_1,True,True,,find_schema → run_sql → run_sql → submit,"What is the count of diverted flights by route (origin-destination pair), including only routes with more than 5 diversions?","SELECT Origin, Dest, COUNT(*) as diverted_count FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE Diverted = 1 GROUP BY Origin, Dest HAVING COUNT(*) > 5","SELECT Origin, Dest, COUNT(*) AS diverted_flights
FROM Airline.On_Time_On_Time_Performance_2016_1
WHERE Diverted = 1
GROUP BY Origin, Dest
HAVING COUNT(*) > 5
ORDER BY diverted_flights DESC",,4.659945208579302
30,evals_hard,False,MISMATCH,employee,employee.departments|employee.dept_emp|employee.employees|employee.salaries,True,False,,find_schema → run_sql → submit,Find salary statistics for departments where salary statistics can be reported. Show me employee count and average salary by department name.,"SELECT d.dept_name, COUNT(DISTINCT e.emp_no) as employee_count, AVG(s.salary) as avg_salary FROM employee.dept_emp de JOIN employee.departments d ON de.dept_no = d.dept_no JOIN employee.employees e ON de.emp_no = e.emp_no JOIN employee.salaries s ON e.emp_no = s.emp_no WHERE de.to_date = '9999-01-01' AND s.to_date = '9999-01-01' GROUP BY d.dept_name HAVING COUNT(DISTINCT e.emp_no) >= 5","WITH cur_dept AS (
 SELECT de.emp_no, de.dept_no,
        ROW_NUMBER() OVER (PARTITION BY de.emp_no ORDER BY de.from_date DESC) AS rn
 FROM employee.dept_emp de
 WHERE de.to_date = '9999-01-01'
),
cur_sal AS (
 SELECT s.emp_no, s.salary
 FROM employee.salaries s
 WHERE s.to_date = '9999-01-01'
),
cur_mgr AS (
 SELECT dm.emp_no
 FROM employee.dept_manager dm
 WHERE dm.to_date = '9999-01-01'
)
SELECT d.dept_name,
       COUNT(DISTINCT cd.emp_no) AS employee_count,
       AVG(cs.salary) AS avg_salary
FROM cur_dept cd
JOIN employee.departments d ON cd.dept_no = d.dept_no
JOIN cur_sal cs ON cd.emp_no = cs.emp_no
WHERE cd.rn = 1
  AND cd.emp_no NOT IN (SELECT emp_no FROM cur_mgr)
GROUP BY d.dept_name
HAVING COUNT(DISTINCT cd.emp_no) >= 5
ORDER BY d.dept_name;",Results do not match,7.035690624266863
