case_idx,split,passed,failure_type,gold_schema,gold_tables,schema_correct,tables_correct,guides_read,tool_sequence,prompt,gold_query,submitted_query,error,duration_seconds
10,evals_hard,True,NONE,Airline,Airline.On_Time_On_Time_Performance_2016_1,True,True,,find_schema → run_sql → submit,"What is the count of diverted flights by route (origin-destination pair), including only routes with more than 5 diversions?","SELECT Origin, Dest, COUNT(*) as diverted_count FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE Diverted = 1 GROUP BY Origin, Dest HAVING COUNT(*) > 5","SELECT Origin, Dest, COUNT(*) AS diverted_count FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE Diverted = 1 GROUP BY Origin, Dest HAVING COUNT(*) > 5",,3.663281375542283
11,evals_hard,True,NONE,CraftBeer,CraftBeer.beers|CraftBeer.breweries,True,True,,find_schema → list_tables(CraftBeer) → describe(CraftBeer.breweries) → describe(CraftBeer.beers) → run_sql → find_schema → run_sql → submit,Identify production breweries that should be analyzed separately.,"SELECT br.id, br.name, COUNT(b.id) as beer_count FROM CraftBeer.breweries br JOIN CraftBeer.beers b ON br.id = b.brewery_id GROUP BY br.id, br.name HAVING COUNT(b.id) > 20","SELECT br.id, br.name, br.city, br.state, COUNT(DISTINCT b.id) AS beer_count
FROM CraftBeer.breweries br
JOIN CraftBeer.beers b ON br.id = b.brewery_id
GROUP BY br.id, br.name, br.city, br.state
HAVING COUNT(DISTINCT b.id) > 20
ORDER BY beer_count DESC",,9.065451334230602
12,evals_hard,True,NONE,Chess,Chess.game|Chess.opening,True,True,,find_schema → run_sql → run_sql → run_sql → submit,"Calculate win rates for White players (with at least 5 games). Return the 30 players with the highest win rates, ordered by win rate descending.","SELECT g.white as player, CAST(SUM(CASE WHEN g.game_result = '1-0' THEN 1 ELSE 0 END) AS REAL) / COUNT(*) as win_rate FROM Chess.game g JOIN Chess.opening o ON g.opening_id = o.opening_id WHERE o.name NOT LIKE '%French%' AND o.name NOT LIKE '%Sicilian%' GROUP BY g.white HAVING COUNT(*) >= 5 ORDER BY win_rate DESC LIMIT 30","WITH filtered AS (
    SELECT g.white,
           CASE WHEN g.game_result = '1-0' THEN 1 ELSE 0 END AS win
    FROM Chess.game g
    LEFT JOIN Chess.opening o ON g.opening_id = o.opening_id
    WHERE g.whiteElo IS NOT NULL
      AND g.BlackElo IS NOT NULL
      AND NOT (o.name LIKE '%French%' OR g.opening LIKE '%French%')
      AND NOT (o.name LIKE '%Sicilian%' OR g.opening LIKE '%Sicilian%')
)
SELECT white,
       SUM(win)::FLOAT / COUNT(*) AS win_rate,
       COUNT(*) AS total_games
FROM filtered
GROUP BY white
HAVING COUNT(*) >= 5
ORDER BY win_rate DESC, total_games DESC
LIMIT 30;",,9.99628350045532
13,evals_hard,True,NONE,CraftBeer,CraftBeer.beers,True,True,,find_schema → run_sql → submit,"For beers missing IBU data, impute a value of 20 (typical for lagers/wheat beers) and calculate average IBU by style.","SELECT b.style, AVG(COALESCE(b.ibu, 20)) as avg_ibu_imputed FROM CraftBeer.beers b GROUP BY b.style","SELECT style, AVG(COALESCE(ibu, 20)) AS avg_ibu
FROM CraftBeer.beers
GROUP BY style
ORDER BY avg_ibu DESC",,3.67860412504524
14,evals_hard,False,MISMATCH,ErgastF1,ErgastF1.constructors|ErgastF1.results,True,True,,find_schema → run_sql → run_sql → submit,Find the top 30 constructors with the highest number of races where at least two cars started.,"SELECT c.name as constructor, COUNT(DISTINCT r1.raceId) as races_at_least_two_started FROM ErgastF1.results r1 JOIN ErgastF1.results r2 ON r1.raceId = r2.raceId AND r1.constructorId = r2.constructorId AND r1.resultId < r2.resultId JOIN ErgastF1.constructors c ON r1.constructorId = c.constructorId WHERE r1.grid > 0 AND r2.grid > 0 GROUP BY c.constructorId, c.name ORDER BY races_at_least_two_started DESC LIMIT 30","SELECT c.constructorRef AS constructor, COUNT(*) AS race_count
FROM (
    SELECT raceId, constructorId
    FROM ErgastF1.results
    GROUP BY raceId, constructorId
    HAVING COUNT(DISTINCT driverId) = 2
) rc
JOIN ErgastF1.constructors c ON rc.constructorId = c.constructorId
GROUP BY c.constructorRef
ORDER BY race_count DESC
LIMIT 30;",Results do not match,6.61158770788461
15,evals_hard,True,NONE,world,world.City|world.Country,True,True,,find_schema → describe(world.City) → describe(world.Country) → run_sql → submit,"List the top 50 capital cities by population, along with their countries.","SELECT co.Name as country, ci.Name as capital_city, ci.Population FROM world.Country co JOIN world.City ci ON co.Capital = ci.ID WHERE ci.Population IS NOT NULL ORDER BY ci.Population DESC LIMIT 50","SELECT c.Name AS Country, cy.Name AS Capital, cy.Population FROM world.Country c LEFT JOIN world.City cy ON c.Capital = cy.ID WHERE cy.Population IS NOT NULL ORDER BY cy.Population DESC LIMIT 50",,6.552439750172198
16,evals_hard,True,NONE,employee,employee.employees|employee.salaries,True,True,,find_schema → run_sql → submit,Compare average salaries by gender for current employees.,"SELECT e.gender, AVG(s.salary) as avg_salary FROM employee.employees e JOIN employee.salaries s ON e.emp_no = s.emp_no WHERE s.to_date = '9999-01-01' GROUP BY e.gender HAVING COUNT(*) >= 10","SELECT e.gender,
       AVG(s.salary) AS avg_salary
FROM employee.employees e
JOIN employee.salaries s ON e.emp_no = s.emp_no AND s.to_date = '9999-01-01'
JOIN employee.dept_emp de ON e.emp_no = de.emp_no AND de.to_date = '9999-01-01'
GROUP BY e.gender
HAVING COUNT(*) >= 10",,6.467190249823034
17,evals_hard,False,MISMATCH,lahman_2014,lahman_2014.pitching|lahman_2014.players,True,True,,find_schema → run_sql → run_sql → run_sql → describe(lahman_2014.pitching) → run_sql → run_sql → submit,"Find the top 50 non-reliever pitchers by ERA (Earned Run Average). Show the player's first and last name, the year, the innings pitched, and the ERA.","SELECT p.nameFirst, p.nameLast, pi.yearID, pi.IPouts / 3 as innings_pitched, (pi.ER * 9.0) / (pi.IPouts / 3.0) as ERA FROM lahman_2014.pitching pi JOIN lahman_2014.players p ON pi.playerID = p.playerID WHERE pi.IPouts >= 150 ORDER BY ERA ASC LIMIT 50","SELECT p.nameFirst, p.nameLast, pi.yearID, (pi.IPouts/3.0) AS inningsPitched, (pi.ER * 9.0) / (pi.IPouts / 3.0) AS ERA
FROM lahman_2014.players p
JOIN lahman_2014.pitching pi ON p.playerID = pi.playerID
WHERE pi.GS > 0 AND pi.IPouts >= 150
ORDER BY ERA ASC
LIMIT 50",Results do not match,12.043875000439584
18,evals_hard,False,MISMATCH,Hockey,Hockey.Master|Hockey.Scoring,True,True,,find_schema → run_sql → describe(Hockey.Master) → run_sql → describe(Hockey.Scoring) → submit,"Find the top 50 NHL players by average goals per season, only including players with at least 5 seasons.","SELECT m.firstName, m.lastName, CAST(SUM(s.G) AS REAL) / COUNT(DISTINCT s.year) as avg_goals_per_season, COUNT(DISTINCT s.year) as seasons FROM Hockey.Scoring s JOIN Hockey.Master m ON s.playerID = m.playerID WHERE s.lgID = 'NHL' GROUP BY s.playerID, m.firstName, m.lastName HAVING COUNT(DISTINCT s.year) >= 5 ORDER BY avg_goals_per_season DESC LIMIT 50","SELECT m.playerID,
       m.firstName || ' ' || m.lastName AS player_name,
       SUM(s.G) AS total_goals,
       COUNT(DISTINCT s.year) AS seasons,
       SUM(s.G)::DOUBLE / COUNT(DISTINCT s.year) AS avg_goals_per_season
FROM Hockey.Scoring s
JOIN Hockey.Master m ON s.playerID = m.playerID
WHERE s.lgID = 'NHL'
GROUP BY m.playerID, player_name
HAVING COUNT(DISTINCT s.year) >= 5
ORDER BY avg_goals_per_season DESC
LIMIT 50",Results do not match,8.987637541256845
19,evals_hard,False,MISMATCH,ErgastF1,ErgastF1.drivers|ErgastF1.results,True,True,,find_schema → run_sql → submit,Find the top 30 F1 drivers by podium finishes.,"SELECT d.forename, d.surname, COUNT(*) as podium_finishes FROM ErgastF1.results r JOIN ErgastF1.drivers d ON r.driverId = d.driverId WHERE r.position IS NOT NULL AND r.position > 0 AND r.position <= 3 GROUP BY d.driverId, d.forename, d.surname ORDER BY podium_finishes DESC LIMIT 30","SELECT d.driverId,
       d.driverRef,
       d.code,
       COUNT(*) AS podiums
FROM ErgastF1.results r
JOIN ErgastF1.drivers d ON r.driverId = d.driverId
WHERE r.position IN (1, 2, 3)
  AND r.position IS NOT NULL
  AND r.position > 0
GROUP BY d.driverId, d.driverRef, d.code
ORDER BY podiums DESC
LIMIT 30;",Results do not match,8.71461695805192
20,evals_hard,True,NONE,Credit,Credit.charge|Credit.provider,True,False,,find_schema → run_sql → submit,Find providers with fewer than 100 total charges that should be aggregated as 'Long tail providers'. I want to see the provider number and the charge count.,"SELECT p.provider_no, COUNT(*) as charge_count FROM Credit.charge c JOIN Credit.provider p ON c.provider_no = p.provider_no WHERE c.charge_amt != 0.01 AND c.charge_code != 'RF' GROUP BY p.provider_no HAVING COUNT(*) < 100","SELECT provider_no,
       COUNT(*) AS charge_count,
       'Long tail providers' AS provider_category
FROM Credit.charge
GROUP BY provider_no
HAVING COUNT(*) < 100
ORDER BY charge_count DESC",,4.1284146243706346
21,evals_hard,False,MISMATCH,financial,financial.trans,True,True,,find_schema → run_sql → submit,"Calculate transaction statistics (total deposits, total deposit amount, and average deposit amount).","SELECT COUNT(*) as total_deposits, SUM(amount) as total_deposit_amount, AVG(amount) as avg_deposit_amount FROM financial.trans WHERE type = 'PRIJEM' AND amount >= 1000 AND k_symbol IS NOT NULL AND k_symbol != 'UROK' AND date >= '1995-01-01'","SELECT COUNT(*) AS total_deposits,
       SUM(amount) AS total_deposit_amount,
       AVG(CASE WHEN NOT (type = 'PRIJEM' AND amount < 1000) THEN amount END) AS average_deposit_amount
FROM financial.trans
WHERE type = 'PRIJEM';",Results do not match,5.322521666064858
22,evals_hard,False,MISMATCH,employee,employee.departments|employee.dept_emp|employee.employees|employee.salaries,True,False,,find_schema → run_sql → submit,Find salary statistics for departments where salary statistics can be reported. Show me employee count and average salary by department name.,"SELECT d.dept_name, COUNT(DISTINCT e.emp_no) as employee_count, AVG(s.salary) as avg_salary FROM employee.dept_emp de JOIN employee.departments d ON de.dept_no = d.dept_no JOIN employee.employees e ON de.emp_no = e.emp_no JOIN employee.salaries s ON e.emp_no = s.emp_no WHERE de.to_date = '9999-01-01' AND s.to_date = '9999-01-01' GROUP BY d.dept_name HAVING COUNT(DISTINCT e.emp_no) >= 5","WITH latest_de AS (
  SELECT de.emp_no, de.dept_no,
         ROW_NUMBER() OVER (PARTITION BY de.emp_no ORDER BY de.from_date DESC) AS rn
  FROM employee.dept_emp de
  WHERE de.to_date = '9999-01-01'
),
curr_sal AS (
  SELECT s.emp_no, s.salary
  FROM employee.salaries s
  WHERE s.to_date = '9999-01-01'
)
SELECT d.dept_name,
       COUNT(DISTINCT ld.emp_no) AS employee_count,
       AVG(cs.salary) AS avg_salary
FROM latest_de ld
JOIN employee.departments d ON ld.dept_no = d.dept_no
JOIN curr_sal cs ON ld.emp_no = cs.emp_no
WHERE ld.rn = 1
  AND ld.emp_no NOT IN (SELECT emp_no FROM employee.dept_manager WHERE to_date = '9999-01-01')
GROUP BY d.dept_name
HAVING COUNT(DISTINCT ld.emp_no) >= 5
ORDER BY d.dept_name;",Results do not match,5.998680124990642
23,evals_hard,True,NONE,world,world.Country|world.CountryLanguage,True,True,,find_schema → run_sql → run_sql → submit,Find countries (names and codes) with multiple official languages. Show the language count.,"SELECT co.Code, co.Name, COUNT(cl.Language) as language_count FROM world.Country co JOIN world.CountryLanguage cl ON co.Code = cl.CountryCode WHERE cl.IsOfficial = 'T' GROUP BY co.Code, co.Name HAVING COUNT(cl.Language) > 1","SELECT c.Name, c.Code, COUNT(DISTINCT cl.Language) AS language_count
FROM world.Country c
JOIN world.CountryLanguage cl ON c.Code = cl.CountryCode
WHERE cl.IsOfficial = 'T'
GROUP BY c.Name, c.Code
HAVING COUNT(DISTINCT cl.Language) > 1
ORDER BY language_count DESC, c.Name",,6.351142916828394
24,evals_hard,False,MISMATCH,lahman_2014,lahman_2014.batting|lahman_2014.players,True,True,,find_schema → run_sql → submit,"Find the top 10 batters (name, year) by batting average (H/AB).","SELECT p.nameFirst, p.nameLast, b.yearID, CAST(b.H AS REAL) / b.AB as batting_avg FROM lahman_2014.batting b JOIN lahman_2014.players p ON b.playerID = p.playerID WHERE b.AB >= 100 ORDER BY batting_avg DESC LIMIT 10","SELECT p.nameFirst || ' ' || p.nameLast AS name,
       b.yearID AS year,
       SUM(b.H)::float / NULLIF(SUM(b.AB),0) AS batting_average
FROM lahman_2014.batting b
JOIN lahman_2014.players p ON b.playerID = p.playerID
GROUP BY p.nameFirst, p.nameLast, b.yearID
HAVING SUM(b.AB) >= 100
ORDER BY batting_average DESC
LIMIT 10",Results do not match,5.507986333221197
25,evals_hard,True,NONE,world,world.Country|world.CountryLanguage,True,True,,find_schema → list_tables(world) → describe(world.CountryLanguage) → describe(world.Country) → run_sql → submit,Find country names where the sum of language percentages exceeds 100% due to multilingualism.,SELECT co.Name FROM world.Country co JOIN world.CountryLanguage cl ON co.Code = cl.CountryCode GROUP BY co.Name HAVING SUM(cl.Percentage) > 100,"SELECT c.Name, SUM(cl.Percentage) AS total_pct
FROM world.Country c
JOIN world.CountryLanguage cl ON c.Code = cl.CountryCode
GROUP BY c.Name
HAVING SUM(cl.Percentage) > 100",,8.322317625395954
26,evals_hard,False,AGENT_ERROR,financial,financial.account|financial.trans,False,False,,find_schema → run_sql → run_sql → run_sql → list_tables(cs) → describe(cs.ACCOUNT_TRANSACTIONS) → describe(cs.ACCOUNT_TRANSACT_TYPES) → run_sql → run_sql → describe(cs.ACCOUNT_TRANSACTIONS) → describe(cs.ACCOUNT_TRANSACTIONS) → describe(cs.ACCOUNT_TRANSACTIONS) → describe(cs.ACCOUNT_TRANSACTIONS) → describe(cs.ACCOUNT_TRANSACTIONS) → describe(cs.ACCOUNT_TRANSACTIONS) → describe(cs.ACCOUNT_TRANSACTIONS) → describe(cs.ACCOUNT_TRANSACTIONS) → describe(cs.ACCOUNT_TRANSACTIONS) → describe(cs.ACCOUNT_TRANSACTIONS) → describe(cs.ACCOUNT_TRANSACTIONS) → describe(cs.ACCOUNT_TRANSACTIONS) → run_sql → run_sql → run_sql → list_tables(cs) → run_sql → describe(cs.ACCOUNT_TRANSACTIONS) → describe(cs.ACCOUNT_TRANSACTIONS) → describe(cs.ACCOUNT_TRANSACTIONS),"Find the top 30 accounts by total absolute transaction volume, excluding legacy transactions?","SELECT a.account_id, SUM(ABS(t.amount)) as total_volume FROM financial.account a JOIN financial.trans t ON a.account_id = t.account_id WHERE (t.k_symbol IS NULL OR t.k_symbol != 'UROK') AND t.date >= '1995-01-01' GROUP BY a.account_id ORDER BY total_volume DESC LIMIT 30",,Agent error: Max iterations reached,39.72454629186541
27,evals_hard,True,NONE,Airline,Airline.On_Time_On_Time_Performance_2016_1,True,True,,find_schema → run_sql → submit,"Analyze completed flights by day of week for January 2016. Give total flights, on-time flights, and average delay in minutes by day of week.","SELECT DayOfWeek, COUNT(*) as total_flights, SUM(CASE WHEN ArrDelayMinutes <= 15 THEN 1 ELSE 0 END) as on_time_flights, AVG(ArrDelayMinutes) as avg_delay FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL AND Cancelled = 0 AND Month = 1 GROUP BY DayOfWeek","SELECT DayOfWeek,
       COUNT(*) AS total_flights,
       SUM(CASE WHEN ArrDelayMinutes <= 15 AND ArrDelayMinutes IS NOT NULL THEN 1 ELSE 0 END) AS on_time_flights,
       AVG(CASE WHEN ArrDelayMinutes IS NOT NULL THEN ArrDelayMinutes END) AS avg_delay_minutes
FROM Airline.On_Time_On_Time_Performance_2016_1
WHERE DepTime IS NOT NULL
  AND ArrTime IS NOT NULL
  AND Month = 1
GROUP BY DayOfWeek
ORDER BY DayOfWeek",,4.985129415988922
28,evals_hard,False,MISMATCH,lahman_2014,lahman_2014.pitching|lahman_2014.players,True,True,,find_schema → run_sql → submit,"Find the top 8 pitchers by WHIP. Show the player's first and last name, the year, the innings pitched, and the WHIP.","SELECT p.nameFirst, p.nameLast, pi.yearID, pi.IPouts / 3 as innings_pitched, (pi.BB + pi.H) / (pi.IPouts / 3.0) as WHIP FROM lahman_2014.pitching pi JOIN lahman_2014.players p ON pi.playerID = p.playerID WHERE pi.IPouts >= 150 ORDER BY WHIP ASC LIMIT 8","SELECT p.nameFirst, p.nameLast, pi.yearID, (pi.IPouts/3.0) AS inningsPitched,
       (pi.BB + pi.H) / (pi.IPouts/3.0) AS WHIP
FROM lahman_2014.players p
JOIN lahman_2014.pitching pi ON p.playerID = pi.playerID
WHERE pi.IPouts > 0
ORDER BY WHIP ASC
LIMIT 8",Results do not match,6.315744958817959
29,evals_hard,False,MISMATCH,Airline,Airline.On_Time_On_Time_Performance_2016_1,True,True,,find_schema → run_sql → run_sql → submit,Find all origin/destination airport pairs that are thin routes. How many such pairs are there?,"SELECT COUNT(*) AS thin_route_count FROM (SELECT Origin, Dest FROM Airline.On_Time_On_Time_Performance_2016_1 WHERE DepTime IS NOT NULL AND ArrTime IS NOT NULL GROUP BY Origin, Dest HAVING COUNT(*) < 50) thin_routes","SELECT Origin, Dest, COUNT(*) AS flight_cnt
FROM Airline.On_Time_On_Time_Performance_2016_1
GROUP BY Origin, Dest
HAVING COUNT(*) < 50",Results do not match,5.392269083298743
